id_venta,fecha,finca,producto,cantidad,unidad,precio_unitario_cop,comprador,medio_pago
V-00054,2025-10-22,San Miguel,sorgo,74,kg,1240,Colegio,transferencia
V-00055,2025-05-26,La Pradera,maiz,16,kg,1700,Mercado municipal,efectivo
V-00056,2025-12-29,El Roble,maiz,622,kg,2722,Cooperativa,transferencia
V-00057,2025-07-29,San Miguel,abono_organico,17,bulto,17283,Familia local,efectivo
V-00058,2025-03-28,Santa Lucia,maiz,115,kg,2273,Restaurante,transferencia
V-00059,2025-11-21,Santa Lucia,maiz,450,kg,2195,Tienda veredal,credito_local
V-00060,2025-03-18,La Esperanza,sorgo,394,kg,2679,Colegio,transferencia
V-00061,2025-10-26,Buenos Aires,sorgo,532,kg,2767,Tienda veredal,credito_local
V-00062,2025-02-23,Buenos Aires,queso,51,kg,13162,Familia local,transferencia
V-00063,2025-06-02,La Esperanza,yuca,320,kg,1001,Colegio,transferencia
V-00064,2025-02-17,La Pradera,abono_organico,9,bulto,14645,Familia local,efectivo
V-00065,2025-02-13,El Roble,queso,45,kg,11945,Tienda veredal,efectivo
V-00066,2025-11-14,La Pradera,yuca,350,kg,1955,Cooperativa,efectivo
V-00067,2025-03-07,La Pradera,maiz,117,kg,1076,Colegio,credito_local
V-00068,2025-03-08,Los Guaduales,abono_organico,16,bulto,11257,Familia local,credito_local
V-00069,2025-10-31,Los Guaduales,queso,28,kg,9377,Mercado municipal,efectivo
V-00070,2025-09-21,El Roble,leche,108,litro,2038,Cooperativa,credito_local
V-00071,2025-09-19,El Roble,queso,36,kg,13483,Cooperativa,efectivo
V-00072,2025-02-06,Buenos Aires,abono_organico,19,bulto,11903,Familia local,credito_local
V-00073,2025-01-04,El Roble,abono_organico,1,bulto,12753,Colegio,efectivo
V-00074,2025-03-31,La Pradera,sorgo,317,kg,1941,Familia local,efectivo
V-00075,2025-12-12,La Esperanza,sorgo,520,kg,1455,Colegio,credito_local
V-00076,2025-09-21,La Esperanza,maiz,154,kg,1208,Familia local,credito_local
V-00077,2025-11-10,La Esperanza,maiz,434,kg,1150,Restaurante,efectivo
V-00078,2025-12-04,La Pradera,queso,59,kg,11053,Cooperativa,transferencia
V-00079,2025-06-25,El Progreso,maiz,525,kg,1262,Familia local,transferencia
V-00080,2025-12-04,Santa Lucia,queso,39,kg,12644,Colegio,credito_local
V-00081,2025-12-08,La Pradera,queso,39,kg,10910,Colegio,credito_local
V-00082,2025-03-23,Los Guaduales,sorgo,195,kg,1118,Mercado municipal,transferencia
V-00083,2025-10-26,El Progreso,yuca,123,kg,964,Mercado municipal,efectivo
V-00084,2025-11-14,El Roble,sorgo,236,kg,1350,Restaurante,transferencia
V-00085,2025-05-28,La Pradera,queso,50,kg,12553,Cooperativa,credito_local
V-00086,2025-01-12,El Progreso,leche,188,litro,2229,Restaurante,transferencia
V-00087,2025-03-24,El Progreso,leche,191,litro,2040,Tienda veredal,efectivo
V-00088,2025-12-02,La Esperanza,leche,218,litro,1877,Restaurante,credito_local
V-00089,2025-11-13,San Miguel,sorgo,165,kg,1796,Colegio,transferencia
V-00090,2025-11-08,Buenos Aires,yuca,285,kg,1749,Colegio,credito_local
V-00091,2025-08-11,La Pradera,queso,23,kg,14439,Familia local,efectivo
V-00092,2025-10-24,San Miguel,queso,47,kg,10869,Familia local,transferencia
V-00093,2025-11-11,Los Guaduales,sorgo,413,kg,2367,Tienda veredal,transferencia
V-00094,2025-07-13,La Pradera,leche,210,litro,2118,Tienda veredal,efectivo
V-00095,2025-11-11,Buenos Aires,yuca,274,kg,2167,Colegio,credito_local
V-00096,2025-06-19,Buenos Aires,maiz,254,kg,1858,Mercado municipal,credito_local
V-00097,2025-10-07,Los Guaduales,queso,25,kg,13296,Cooperativa,transferencia
V-00098,2025-10-30,Santa Lucia,abono_organico,33,bulto,7678,Familia local,efectivo
V-00099,2025-02-05,La Pradera,leche,18,litro,1536,Tienda veredal,efectivo
V-00100,2025-01-18,Santa Lucia,maiz,101,kg,1460,Colegio,credito_local
V-00101,2025-12-21,Buenos Aires,leche,185,litro,1604,Cooperativa,transferencia
V-00102,2025-07-25,El Roble,leche,102,litro,2036,Restaurante,efectivo
V-00103,2025-07-29,Buenos Aires,yuca,414,kg,967,Restaurante,credito_local
V-00104,2025-11-30,Buenos Aires,maiz,494,kg,2505,Familia local,efectivo
V-00105,2025-04-14,Santa Lucia,queso,11,kg,14775,Colegio,transferencia
V-00106,2025-06-25,San Miguel,maiz,32,kg,1340,Restaurante,credito_local
V-00107,2025-09-24,Santa Lucia,queso,15,kg,11608,Tienda veredal,transferencia
V-00108,2025-04-21,El Roble,abono_organico,38,bulto,17493,Familia local,transferencia
V-00109,2025-03-08,Los Guaduales,maiz,322,kg,2396,Restaurante,efectivo
V-00110,2025-06-29,Santa Lucia,yuca,600,kg,1699,Tienda veredal,efectivo
V-00111,2025-07-22,El Roble,yuca,40,kg,1569,Tienda veredal,efectivo
V-00112,2025-02-19,Los Guaduales,abono_organico,40,bulto,8585,Familia local,credito_local
V-00113,2025-08-23,San Miguel,maiz,157,kg,1068,Colegio,efectivo
V-00114,2025-02-16,La Esperanza,queso,29,kg,10938,Familia local,efectivo
V-00115,2025-05-23,El Progreso,leche,62,litro,2172,Colegio,transferencia
V-00116,2025-03-30,San Miguel,sorgo,386,kg,1472,Tienda veredal,credito_local
V-00117,2025-10-30,La Pradera,maiz,316,kg,1063,Mercado municipal,credito_local
V-00118,2025-02-27,Buenos Aires,yuca,468,kg,1843,Colegio,efectivo
V-00119,2025-11-01,La Pradera,leche,83,litro,2269,Cooperativa,efectivo
V-00120,2025-09-22,Buenos Aires,abono_organico,37,bulto,17896,Colegio,transferencia
V-00121,2025-09-18,Los Guaduales,leche,148,litro,1856,Restaurante,efectivo
V-00122,2025-06-12,Los Guaduales,sorgo,56,kg,2458,Restaurante,credito_local
V-00123,2025-07-10,Buenos Aires,abono_organico,2,bulto,14253,Tienda veredal,credito_local
V-00124,2025-03-13,Los Guaduales,maiz,250,kg,1993,Cooperativa,efectivo
V-00125,2025-12-25,San Miguel,abono_organico,5,bulto,17183,Restaurante,transferencia
V-00126,2025-05-18,Los Guaduales,leche,19,litro,2193,Restaurante,transferencia
V-00127,2025-02-14,El Roble,abono_organico,3,bulto,11188,Mercado municipal,transferencia
V-00128,2025-12-14,San Miguel,leche,168,litro,1631,Familia local,credito_local
V-00129,2025-09-04,La Pradera,abono_organico,22,bulto,12850,Mercado municipal,transferencia
V-00130,2025-09-22,Los Guaduales,leche,70,litro,1773,Familia local,efectivo
V-00131,2025-11-18,El Progreso,yuca,74,kg,1744,Familia local,transferencia
V-00132,2025-09-24,El Roble,maiz,263,kg,2258,Restaurante,transferencia
V-00133,2025-01-28,San Miguel,yuca,569,kg,2153,Restaurante,credito_local
V-00134,2025-05-17,La Pradera,maiz,246,kg,1459,Familia local,efectivo
V-00135,2025-10-12,Buenos Aires,sorgo,208,kg,1128,Familia local,transferencia
V-00136,2025-12-03,La Esperanza,abono_organico,13,bulto,17681,Restaurante,credito_local
V-00137,2025-12-25,San Miguel,queso,60,kg,12489,Mercado municipal,transferencia
V-00138,2025-03-01,La Esperanza,abono_organico,27,bulto,12235,Familia local,efectivo
V-00139,2025-08-12,Buenos Aires,leche,55,litro,1816,Mercado municipal,credito_local
V-00140,2025-05-02,Buenos Aires,queso,6,kg,13103,Mercado municipal,transferencia
V-00141,2025-01-04,El Progreso,abono_organico,26,bulto,16957,Colegio,efectivo
V-00142,2025-09-14,San Miguel,abono_organico,8,bulto,15769,Familia local,transferencia
V-00143,2025-07-08,La Esperanza,abono_organico,18,bulto,7379,Restaurante,credito_local
V-00144,2025-10-13,Los Guaduales,leche,210,litro,2248,Restaurante,credito_local
V-00145,2025-09-20,San Miguel,sorgo,375,kg,1136,Mercado municipal,transferencia
V-00146,2025-09-20,La Pradera,abono_organico,37,bulto,16881,Restaurante,efectivo
V-00147,2025-01-13,Los Guaduales,leche,216,litro,1659,Cooperativa,efectivo
V-00148,2025-05-03,El Roble,yuca,506,kg,2336,Mercado municipal,efectivo
V-00149,2025-03-02,Los Guaduales,yuca,537,kg,937,Colegio,transferencia
V-00150,2025-05-28,La Pradera,maiz,81,kg,2664,Cooperativa,credito_local
V-00151,2025-06-25,El Progreso,abono_organico,19,bulto,12287,Tienda veredal,credito_local
V-00152,2025-02-17,El Roble,yuca,30,kg,1007,Familia local,credito_local
V-00153,2025-02-05,La Esperanza,maiz,203,kg,1856,Cooperativa,efectivo
V-00154,2025-04-15,El Progreso,maiz,13,kg,1814,Familia local,transferencia
V-00155,2025-12-25,San Miguel,sorgo,377,kg,2668,Restaurante,efectivo
V-00156,2025-11-03,La Esperanza,leche,36,litro,2140,Mercado municipal,credito_local
V-00157,2025-02-23,Los Guaduales,maiz,250,kg,2320,Colegio,credito_local
V-00158,2025-07-04,El Progreso,sorgo,418,kg,2109,Colegio,efectivo
V-00159,2025-10-21,El Roble,maiz,444,kg,2262,Familia local,efectivo
V-00160,2025-04-08,Buenos Aires,yuca,309,kg,2615,Familia local,efectivo
V-00161,2025-11-18,Buenos Aires,sorgo,186,kg,947,Cooperativa,credito_local
V-00162,2025-08-23,La Esperanza,abono_organico,43,bulto,9960,Tienda veredal,efectivo
V-00163,2025-01-27,La Pradera,queso,16,kg,14857,Cooperativa,transferencia
V-00164,2025-12-19,La Pradera,leche,83,litro,1731,Tienda veredal,transferencia
V-00165,2025-06-02,La Pradera,yuca,555,kg,2166,Colegio,transferencia
V-00166,2025-02-14,La Esperanza,yuca,361,kg,2513,Mercado municipal,transferencia
V-00167,2025-12-21,Santa Lucia,yuca,253,kg,2283,Mercado municipal,credito_local
V-00168,2025-07-20,Santa Lucia,queso,40,kg,14481,Cooperativa,transferencia
V-00169,2025-12-28,El Roble,queso,39,kg,11773,Restaurante,efectivo
V-00170,2025-02-09,Buenos Aires,maiz,324,kg,1755,Tienda veredal,efectivo
V-00171,2025-09-20,Los Guaduales,sorgo,326,kg,2073,Mercado municipal,efectivo
V-00172,2025-11-30,La Pradera,queso,33,kg,11641,Cooperativa,credito_local
V-00173,2025-11-13,El Progreso,maiz,564,kg,1116,Familia local,efectivo
V-00174,2025-09-27,Buenos Aires,queso,46,kg,9235,Cooperativa,transferencia
V-00175,2025-07-21,El Progreso,abono_organico,39,bulto,8495,Tienda veredal,transferencia
V-00176,2025-12-08,La Esperanza,queso,2,kg,11135,Cooperativa,credito_local
V-00177,2025-08-03,Santa Lucia,queso,2,kg,13315,Restaurante,transferencia
V-00178,2025-04-24,Santa Lucia,sorgo,569,kg,2699,Mercado municipal,transferencia
V-00179,2025-06-18,Santa Lucia,maiz,350,kg,2493,Colegio,credito_local
V-00180,2025-10-22,El Progreso,yuca,29,kg,1093,Tienda veredal,credito_local
V-00181,2025-09-06,El Roble,leche,124,litro,2085,Colegio,credito_local
V-00182,2025-01-04,San Miguel,yuca,81,kg,1165,Tienda veredal,efectivo
V-00183,2025-12-04,La Esperanza,sorgo,144,kg,2360,Mercado municipal,credito_local
V-00184,2025-06-06,Buenos Aires,sorgo,11,kg,2103,Mercado municipal,transferencia
V-00185,2025-10-16,San Miguel,yuca,121,kg,2727,Cooperativa,transferencia
V-00186,2025-08-10,Buenos Aires,abono_organico,9,bulto,8258,Restaurante,transferencia
V-00187,2025-06-28,La Esperanza,leche,101,litro,1915,Mercado municipal,efectivo
V-00188,2025-01-22,Buenos Aires,sorgo,140,kg,2603,Familia local,transferencia
V-00189,2025-07-01,Santa Lucia,leche,94,litro,1916,Mercado municipal,transferencia
V-00190,2025-04-18,Buenos Aires,leche,109,litro,2078,Tienda veredal,efectivo
V-00191,2025-02-24,Santa Lucia,queso,38,kg,10098,Cooperativa,efectivo
V-00192,2025-08-14,El Roble,abono_organico,27,bulto,12369,Restaurante,efectivo
V-00193,2025-08-08,San Miguel,yuca,73,kg,2456,Colegio,credito_local
V-00194,2025-03-14,El Progreso,queso,36,kg,11774,Familia local,credito_local
V-00195,2025-03-20,El Progreso,queso,17,kg,10458,Tienda veredal,credito_local
V-00196,2025-02-26,El Roble,sorgo,197,kg,1006,Tienda veredal,credito_local
V-00197,2025-11-27,La Pradera,leche,190,litro,2009,Tienda veredal,efectivo
V-00198,2025-06-15,La Esperanza,sorgo,27,kg,2656,Colegio,credito_local
V-00199,2025-01-10,El Roble,maiz,491,kg,2248,Restaurante,efectivo
V-00200,2025-04-28,El Progreso,abono_organico,13,bulto,16111,Colegio,credito_local
V-00201,2025-02-03,La Pradera,abono_organico,17,bulto,11815,Restaurante,credito_local
V-00202,2025-06-26,El Roble,leche,217,litro,2159,Cooperativa,credito_local
V-00203,2025-10-12,Buenos Aires,yuca,188,kg,2176,Familia local,transferencia
V-00204,2025-06-22,El Progreso,abono_organico,1,bulto,7344,Familia local,efectivo
V-00205,2025-02-10,El Progreso,maiz,531,kg,1338,Mercado municipal,transferencia
V-00206,2025-10-12,El Progreso,leche,38,litro,2067,Mercado municipal,transferencia
V-00207,2025-12-03,San Miguel,abono_organico,40,bulto,7197,Mercado municipal,efectivo
V-00208,2025-03-01,San Miguel,leche,217,litro,2128,Familia local,credito_local
V-00209,2025-07-30,San Miguel,maiz,144,kg,1870,Cooperativa,efectivo
V-00210,2025-06-26,El Progreso,queso,19,kg,11140,Cooperativa,efectivo
V-00211,2025-05-26,La Pradera,sorgo,508,kg,1289,Mercado municipal,credito_local
V-00212,2025-04-13,Buenos Aires,abono_organico,29,bulto,9488,Mercado municipal,credito_local
V-00213,2025-12-17,Buenos Aires,abono_organico,43,bulto,16960,Restaurante,transferencia
V-00214,2025-06-14,La Pradera,sorgo,549,kg,1045,Familia local,credito_local
V-00215,2025-12-15,El Progreso,maiz,183,kg,910,Restaurante,transferencia
V-00216,2025-04-08,El Roble,sorgo,481,kg,2249,Cooperativa,efectivo
V-00217,2025-11-04,San Miguel,yuca,568,kg,1017,Colegio,credito_local
V-00218,2025-03-05,Buenos Aires,leche,69,litro,1624,Mercado municipal,transferencia
V-00219,2025-05-22,El Roble,abono_organico,8,bulto,11640,Cooperativa,credito_local
V-00220,2025-10-04,Buenos Aires,leche,159,litro,1679,Cooperativa,transferencia
V-00221,2025-03-05,La Pradera,leche,134,litro,2162,Colegio,transferencia
V-00222,2025-03-13,La Pradera,leche,172,litro,2111,Colegio,credito_local
V-00223,2025-06-14,La Pradera,maiz,552,kg,2602,Tienda veredal,credito_local
V-00224,2025-10-11,El Roble,yuca,496,kg,1910,Cooperativa,credito_local
V-00225,2025-06-01,La Esperanza,queso,3,kg,14219,Colegio,credito_local
V-00226,2025-01-22,La Pradera,yuca,631,kg,1579,Mercado municipal,transferencia
V-00227,2025-05-11,La Pradera,leche,11,litro,1634,Colegio,transferencia
V-00228,2025-02-14,El Progreso,queso,24,kg,10358,Colegio,efectivo
V-00229,2025-11-22,Los Guaduales,queso,53,kg,9927,Cooperativa,credito_local
V-00230,2025-10-06,El Progreso,yuca,528,kg,1332,Restaurante,credito_local
V-00231,2025-03-11,Santa Lucia,maiz,138,kg,2351,Mercado municipal,transferencia
V-00232,2025-12-12,La Esperanza,leche,217,litro,1703,Colegio,efectivo
V-00233,2025-05-12,La Pradera,sorgo,638,kg,1387,Mercado municipal,efectivo
V-00234,2025-04-14,Santa Lucia,yuca,245,kg,1151,Familia local,credito_local
V-00235,2025-03-05,La Pradera,abono_organico,30,bulto,10017,Cooperativa,transferencia
V-00236,2025-11-21,Los Guaduales,sorgo,266,kg,951,Restaurante,credito_local
V-00237,2025-05-29,San Miguel,maiz,140,kg,2139,Restaurante,transferencia
V-00238,2025-04-16,Buenos Aires,abono_organico,20,bulto,14575,Familia local,credito_local
V-00239,2025-08-05,La Pradera,abono_organico,8,bulto,8939,Mercado municipal,credito_local
V-00240,2025-07-16,La Esperanza,abono_organico,32,bulto,10484,Familia local,efectivo
V-00241,2025-10-07,San Miguel,sorgo,323,kg,1385,Restaurante,credito_local
V-00242,2025-09-22,La Pradera,queso,17,kg,12796,Familia local,efectivo
V-00243,2025-01-10,El Progreso,abono_organico,1,bulto,9506,Cooperativa,credito_local
V-00244,2025-11-04,El Roble,queso,29,kg,9857,Colegio,credito_local
V-00245,2025-11-09,La Pradera,leche,215,litro,1854,Tienda veredal,transferencia
V-00246,2025-04-01,El Roble,abono_organico,22,bulto,9785,Familia local,transferencia
V-00247,2025-12-17,El Roble,maiz,328,kg,1312,Tienda veredal,credito_local
V-00248,2025-10-12,El Roble,sorgo,238,kg,2771,Tienda veredal,transferencia
V-00249,2025-01-04,Los Guaduales,queso,3,kg,13344,Familia local,credito_local
V-00250,2025-10-18,La Pradera,leche,157,litro,1837,Mercado municipal,credito_local
V-00251,2025-03-01,Buenos Aires,leche,190,litro,1777,Colegio,credito_local
V-00252,2025-06-30,El Progreso,queso,8,kg,10910,Restaurante,efectivo
V-00253,2025-06-26,El Roble,queso,25,kg,10663,Colegio,credito_local
V-00254,2025-06-19,El Progreso,leche,144,litro,2284,Restaurante,efectivo
V-00255,2025-02-21,San Miguel,yuca,429,kg,1972,Familia local,efectivo
V-00256,2025-10-24,El Roble,leche,194,litro,1955,Restaurante,credito_local
V-00257,2025-02-05,La Esperanza,sorgo,214,kg,1442,Tienda veredal,transferencia
V-00258,2025-04-21,La Esperanza,maiz,326,kg,1660,Mercado municipal,efectivo
V-00259,2025-07-06,La Pradera,maiz,286,kg,990,Colegio,transferencia
V-00260,2025-05-06,Los Guaduales,sorgo,618,kg,1844,Restaurante,efectivo
V-00261,2025-03-17,El Roble,abono_organico,19,bulto,16402,Restaurante,credito_local
V-00262,2025-09-20,Buenos Aires,queso,38,kg,9933,Familia local,efectivo
V-00263,2025-05-16,San Miguel,maiz,419,kg,1739,Colegio,credito_local
V-00264,2025-10-18,El Progreso,maiz,184,kg,2664,Tienda veredal,credito_local
V-00265,2025-10-25,La Esperanza,yuca,600,kg,1811,Restaurante,credito_local
V-00266,2025-02-28,El Progreso,sorgo,97,kg,2388,Mercado municipal,transferencia
V-00267,2025-02-08,El Progreso,sorgo,14,kg,978,Cooperativa,transferencia
V-00268,2025-06-02,Santa Lucia,queso,47,kg,10088,Restaurante,efectivo
V-00269,2025-06-29,La Pradera,leche,218,litro,1808,Colegio,credito_local
V-00270,2025-10-17,La Pradera,sorgo,10,kg,1644,Mercado municipal,credito_local
V-00271,2025-09-25,El Progreso,maiz,646,kg,2611,Mercado municipal,credito_local
V-00272,2025-05-05,Buenos Aires,sorgo,147,kg,2329,Colegio,efectivo
V-00273,2025-04-16,La Esperanza,yuca,57,kg,2453,Familia local,credito_local
V-00274,2025-02-18,La Pradera,maiz,262,kg,918,Cooperativa,efectivo
V-00275,2025-12-05,El Progreso,abono_organico,22,bulto,17695,Restaurante,efectivo
V-00276,2025-08-28,Buenos Aires,leche,24,litro,1883,Familia local,credito_local
V-00277,2025-01-09,Santa Lucia,queso,40,kg,10828,Familia local,transferencia
V-00278,2025-05-25,San Miguel,sorgo,629,kg,1193,Cooperativa,transferencia
V-00279,2025-03-01,Buenos Aires,abono_organico,5,bulto,17613,Tienda veredal,transferencia
V-00280,2025-08-12,El Progreso,queso,53,kg,9752,Cooperativa,efectivo
V-00281,2025-10-31,La Esperanza,maiz,496,kg,2110,Mercado municipal,credito_local
V-00282,2025-11-04,El Progreso,yuca,196,kg,1539,Colegio,efectivo
V-00283,2025-08-14,San Miguel,yuca,620,kg,2281,Tienda veredal,credito_local
V-00284,2025-08-25,Los Guaduales,leche,211,litro,1810,Familia local,efectivo
V-00285,2025-01-12,Santa Lucia,leche,104,litro,1777,Familia local,efectivo
V-00286,2025-02-20,La Pradera,queso,7,kg,10923,Colegio,credito_local
V-00287,2025-06-19,Santa Lucia,sorgo,98,kg,1086,Tienda veredal,transferencia
V-00288,2025-06-29,El Progreso,queso,9,kg,14219,Colegio,efectivo
V-00289,2025-12-18,El Progreso,sorgo,200,kg,1797,Cooperativa,credito_local
V-00290,2025-05-25,La Esperanza,sorgo,469,kg,1488,Colegio,credito_local
V-00291,2025-07-21,La Pradera,maiz,639,kg,2631,Familia local,efectivo
V-00292,2025-11-22,El Progreso,leche,22,litro,2224,Familia local,transferencia
V-00293,2025-12-24,El Roble,sorgo,252,kg,2166,Restaurante,efectivo
V-00294,2025-09-12,La Esperanza,yuca,489,kg,2136,Restaurante,credito_local
V-00295,2025-04-04,Buenos Aires,yuca,458,kg,1332,Restaurante,transferencia
V-00296,2025-05-15,El Progreso,maiz,406,kg,2675,Familia local,credito_local
V-00297,2025-02-14,El Roble,sorgo,634,kg,2703,Restaurante,transferencia
V-00298,2025-04-01,El Progreso,abono_organico,35,bulto,17343,Familia local,transferencia
V-00299,2025-10-25,La Esperanza,maiz,84,kg,2071,Colegio,efectivo
V-00300,2025-08-13,La Pradera,sorgo,541,kg,2590,Colegio,transferencia
V-00301,2025-11-09,La Pradera,queso,49,kg,11263,Restaurante,credito_local
V-00302,2025-08-08,Santa Lucia,sorgo,204,kg,1892,Cooperativa,efectivo
V-00303,2025-07-12,Los Guaduales,maiz,422,kg,1351,Restaurante,efectivo
V-00304,2025-07-01,El Roble,sorgo,458,kg,2420,Restaurante,credito_local
V-00305,2025-01-22,Los Guaduales,leche,211,litro,1646,Colegio,efectivo
V-00306,2025-09-05,El Progreso,sorgo,113,kg,2232,Restaurante,efectivo
V-00307,2025-03-03,El Roble,leche,128,litro,2080,Mercado municipal,transferencia
V-00308,2025-03-30,La Esperanza,queso,59,kg,9792,Cooperativa,credito_local
V-00309,2025-06-26,Los Guaduales,abono_organico,30,bulto,9884,Tienda veredal,credito_local
V-00310,2025-03-09,Santa Lucia,queso,31,kg,11164,Colegio,credito_local
V-00311,2025-12-22,La Esperanza,sorgo,128,kg,2472,Mercado municipal,transferencia
V-00312,2025-12-02,Los Guaduales,queso,21,kg,9395,Tienda veredal,credito_local
V-00313,2025-09-24,El Roble,yuca,42,kg,1189,Tienda veredal,transferencia
V-00314,2025-06-02,San Miguel,leche,209,litro,1771,Colegio,transferencia
V-00315,2025-08-21,El Roble,abono_organico,10,bulto,11141,Restaurante,transferencia
V-00316,2025-09-18,Buenos Aires,abono_organico,23,bulto,14524,Colegio,efectivo
V-00317,2025-05-24,Buenos Aires,leche,169,litro,1877,Cooperativa,transferencia
V-00318,2025-04-09,El Progreso,abono_organico,38,bulto,17299,Restaurante,efectivo
V-00319,2025-05-28,El Progreso,queso,47,kg,10396,Tienda veredal,credito_local
V-00320,2025-06-27,Santa Lucia,yuca,15,kg,2355,Familia local,efectivo
V-00321,2025-03-20,Los Guaduales,queso,14,kg,10850,Colegio,efectivo
V-00322,2025-09-06,Santa Lucia,sorgo,140,kg,2735,Tienda veredal,efectivo
V-00323,2025-06-04,Santa Lucia,maiz,503,kg,2572,Mercado municipal,credito_local
V-00324,2025-10-22,El Roble,maiz,107,kg,2673,Colegio,credito_local
V-00325,2025-08-10,La Esperanza,leche,94,litro,1512,Colegio,credito_local
V-00326,2025-04-24,Los Guaduales,yuca,185,kg,2491,Familia local,credito_local
V-00327,2025-09-23,El Progreso,queso,32,kg,10033,Colegio,efectivo
V-00328,2025-08-11,San Miguel,yuca,78,kg,1975,Restaurante,transferencia
