codigo_animal,finca,raza,edad_meses,peso_kg,estado_sanitario,ultima_vacuna,responsable
SA-0062,Santa Lucia,Gyr,42,422.2,sano,2024-12-10,Carlos
LO-0063,Los Guaduales,Jersey,19,489.2,sano,2024-11-20,Ana
EL-0064,El Progreso,Gyr,42,484.5,sano,2024-07-05,Jorge
BU-0065,Buenos Aires,Criollo,11,597.2,observacion,2024-07-09,Marta
EL-0066,El Roble,Normando,57,460.8,sano,2024-07-10,Luis
LO-0067,Los Guaduales,Normando,34,404.8,sano,2024-12-10,Jorge
BU-0068,Buenos Aires,Jersey,92,281.1,sano,2024-10-04,Jorge
BU-0069,Buenos Aires,Normando,83,403.9,sano,2024-09-13,Carlos
BU-0070,Buenos Aires,Normando,117,348.2,observacion,2024-11-16,Paola
LA-0071,La Esperanza,Jersey,14,499.7,sano,2024-09-14,Marta
EL-0072,El Roble,Criollo,119,280.2,sano,2024-08-18,Carlos
EL-0073,El Progreso,Criollo,114,500.9,sano,2024-10-10,Luis
LA-0074,La Esperanza,Holstein,41,403.8,sano,2024-08-18,Carlos
EL-0075,El Roble,Holstein,116,421.5,sano,2024-10-31,Marta
LA-0076,La Pradera,Normando,23,476.2,sano,2024-10-02,Paola
SA-0077,Santa Lucia,Normando,51,405.7,observacion,2024-10-17,Carlos
LA-0078,La Esperanza,Jersey,78,355.0,sano,2024-07-15,Jorge
LO-0079,Los Guaduales,Pardo Suizo,117,383.9,observacion,2024-08-31,Marta
LA-0080,La Esperanza,Pardo Suizo,56,426.0,sano,2024-09-09,Carlos
LO-0081,Los Guaduales,Pardo Suizo,36,443.8,tratamiento,2024-08-03,Ana
BU-0082,Buenos Aires,Criollo,36,440.4,sano,2024-10-23,Paola
SA-0083,Santa Lucia,Holstein,94,338.9,sano,2024-10-29,Ana
SA-0084,San Miguel,Normando,115,528.5,tratamiento,2024-10-11,Luis
LO-0085,Los Guaduales,Jersey,112,587.8,observacion,2024-07-10,Luis
BU-0086,Buenos Aires,Normando,114,318.7,sano,2024-10-29,Paola
SA-0087,San Miguel,Pardo Suizo,54,441.5,tratamiento,2024-12-04,Luis
LO-0088,Los Guaduales,Gyr,41,370.2,sano,2024-08-05,Luis
EL-0089,El Roble,Gyr,85,426.2,sano,2024-09-27,Luis
SA-0090,San Miguel,Normando,20,379.3,sano,2024-07-23,Marta
LA-0091,La Pradera,Pardo Suizo,29,613.1,sano,2024-09-10,Carlos
LO-0092,Los Guaduales,Jersey,35,272.8,sano,2024-10-27,Marta
EL-0093,El Roble,Jersey,65,348.5,sano,2024-10-07,Ana
SA-0094,San Miguel,Holstein,109,590.7,sano,2024-09-04,Luis
LA-0095,La Pradera,Gyr,84,456.5,sano,2024-07-11,Ana
EL-0096,El Roble,Pardo Suizo,86,183.5,sano,2024-11-28,Luis
LO-0097,Los Guaduales,Holstein,101,470.3,observacion,2024-09-09,Luis
LO-0098,Los Guaduales,Criollo,32,425.0,sano,2024-07-14,Ana
SA-0099,San Miguel,Pardo Suizo,67,452.4,sano,2024-12-28,Luis
LO-0100,Los Guaduales,Jersey,67,301.1,sano,2024-10-26,Jorge
EL-0101,El Roble,Gyr,66,285.0,tratamiento,2024-09-21,Carlos
SA-0102,San Miguel,Pardo Suizo,54,519.9,sano,2024-08-08,Marta
LA-0103,La Pradera,Criollo,49,461.5,sano,2024-07-30,Carlos
LA-0104,La Pradera,Pardo Suizo,27,623.5,vacuna_pendiente,2024-12-27,Ana
LA-0105,La Esperanza,Gyr,33,491.2,tratamiento,2024-12-25,Jorge
BU-0106,Buenos Aires,Normando,48,552.8,sano,2024-11-11,Paola
LA-0107,La Esperanza,Normando,120,276.0,tratamiento,2024-09-04,Jorge
EL-0108,El Roble,Jersey,53,477.1,sano,2024-09-29,Ana
LA-0109,La Pradera,Jersey,70,302.4,sano,2024-11-19,Marta
BU-0110,Buenos Aires,Holstein,91,466.1,sano,2024-11-01,Marta
SA-0111,Santa Lucia,Pardo Suizo,29,278.0,sano,2024-09-02,Marta
LO-0112,Los Guaduales,Pardo Suizo,83,532.7,vacuna_pendiente,2024-10-19,Paola
SA-0113,San Miguel,Jersey,7,496.7,sano,2024-10-09,Luis
EL-0114,El Progreso,Pardo Suizo,37,388.2,sano,2024-07-05,Marta
BU-0115,Buenos Aires,Gyr,21,498.5,sano,2024-09-26,Paola
LA-0116,La Esperanza,Jersey,85,459.9,sano,2024-11-26,Carlos
LA-0117,La Pradera,Normando,49,410.2,sano,2024-07-13,Marta
SA-0118,San Miguel,Holstein,23,338.8,observacion,2024-10-13,Luis
SA-0119,Santa Lucia,Normando,116,283.9,sano,2024-07-19,Luis
LO-0120,Los Guaduales,Pardo Suizo,78,285.9,sano,2024-09-29,Jorge
SA-0121,Santa Lucia,Gyr,31,510.0,sano,2024-09-22,Marta
LA-0122,La Esperanza,Pardo Suizo,52,436.2,vacuna_pendiente,2024-10-18,Ana
BU-0123,Buenos Aires,Gyr,58,498.0,sano,2024-10-10,Luis
BU-0124,Buenos Aires,Jersey,21,469.3,sano,2024-12-25,Jorge
BU-0125,Buenos Aires,Pardo Suizo,43,292.7,sano,2024-08-24,Carlos
EL-0126,El Roble,Pardo Suizo,8,357.2,sano,2024-11-11,Jorge
LO-0127,Los Guaduales,Gyr,109,407.9,sano,2024-12-10,Ana
EL-0128,El Roble,Gyr,106,385.1,sano,2024-08-11,Luis
LA-0129,La Pradera,Jersey,14,307.2,vacuna_pendiente,2024-08-16,Luis
SA-0130,Santa Lucia,Normando,118,470.0,sano,2024-12-05,Paola
EL-0131,El Progreso,Pardo Suizo,72,490.5,sano,2024-10-01,Ana
LO-0132,Los Guaduales,Jersey,43,475.5,sano,2024-07-10,Paola
LO-0133,Los Guaduales,Pardo Suizo,62,498.1,tratamiento,2024-07-21,Carlos
SA-0134,San Miguel,Normando,104,406.1,sano,2024-12-13,Jorge
LA-0135,La Pradera,Normando,47,477.1,vacuna_pendiente,2024-07-25,Paola
SA-0136,San Miguel,Holstein,22,473.0,sano,2024-09-11,Luis
SA-0137,San Miguel,Criollo,10,470.0,sano,2024-12-15,Jorge
LA-0138,La Pradera,Jersey,65,581.5,sano,2024-07-20,Luis
LA-0139,La Esperanza,Criollo,37,568.7,sano,2024-09-11,Ana
BU-0140,Buenos Aires,Jersey,92,483.6,sano,2024-07-28,Ana
SA-0141,Santa Lucia,Gyr,17,516.0,sano,2024-09-06,Marta
LA-0142,La Esperanza,Criollo,103,507.6,tratamiento,2024-09-20,Ana
BU-0143,Buenos Aires,Criollo,72,531.0,observacion,2024-12-25,Luis
SA-0144,Santa Lucia,Gyr,40,391.0,vacuna_pendiente,2024-11-02,Carlos
BU-0145,Buenos Aires,Holstein,41,241.3,sano,2024-07-21,Paola
EL-0146,El Roble,Criollo,79,320.1,sano,2024-11-03,Marta
LO-0147,Los Guaduales,Gyr,87,236.1,sano,2024-07-07,Ana
EL-0148,El Roble,Pardo Suizo,75,349.1,sano,2024-08-11,Ana
LO-0149,Los Guaduales,Jersey,20,429.3,sano,2024-07-12,Paola
LA-0150,La Esperanza,Jersey,90,364.9,observacion,2024-12-26,Ana
BU-0151,Buenos Aires,Gyr,75,485.5,sano,2024-11-16,Ana
LO-0152,Los Guaduales,Normando,54,385.7,sano,2024-10-14,Ana
EL-0153,El Roble,Jersey,65,599.0,sano,2024-11-09,Ana
EL-0154,El Progreso,Holstein,9,445.7,tratamiento,2024-07-19,Carlos
LO-0155,Los Guaduales,Criollo,58,496.1,sano,2024-08-24,Jorge
LO-0156,Los Guaduales,Pardo Suizo,84,480.4,sano,2024-07-14,Ana
SA-0157,Santa Lucia,Criollo,43,272.8,sano,2024-12-09,Marta
SA-0158,Santa Lucia,Normando,51,450.9,sano,2024-07-16,Paola
LA-0159,La Pradera,Normando,42,438.0,observacion,2024-12-21,Jorge
LO-0160,Los Guaduales,Gyr,22,597.2,tratamiento,2024-12-16,Carlos
LO-0161,Los Guaduales,Pardo Suizo,33,445.2,sano,2024-12-07,Ana
SA-0162,Santa Lucia,Normando,72,337.4,sano,2024-11-20,Jorge
SA-0163,San Miguel,Pardo Suizo,89,452.3,observacion,2024-10-09,Jorge
EL-0164,El Roble,Normando,65,386.3,sano,2024-09-07,Jorge
SA-0165,San Miguel,Holstein,40,409.6,sano,2024-10-29,Ana
LA-0166,La Esperanza,Jersey,40,240.7,sano,2024-10-28,Luis
SA-0167,Santa Lucia,Pardo Suizo,50,275.8,tratamiento,2024-07-25,Marta
LO-0168,Los Guaduales,Pardo Suizo,8,485.3,sano,2024-07-25,Jorge
LO-0169,Los Guaduales,Normando,102,484.9,sano,2024-08-29,Jorge
LA-0170,La Pradera,Pardo Suizo,95,433.8,sano,2024-09-04,Marta
LO-0171,Los Guaduales,Criollo,22,323.1,sano,2024-12-14,Paola
LA-0172,La Pradera,Criollo,52,556.0,sano,2024-09-03,Ana
EL-0173,El Roble,Holstein,70,376.0,sano,2024-09-10,Carlos
LA-0174,La Pradera,Normando,69,438.2,sano,2024-09-16,Paola
LA-0175,La Pradera,Criollo,41,402.3,tratamiento,2024-08-09,Jorge
BU-0176,Buenos Aires,Pardo Suizo,89,406.3,observacion,2024-12-17,Carlos
LA-0177,La Pradera,Holstein,34,364.2,observacion,2024-09-09,Jorge
SA-0178,Santa Lucia,Pardo Suizo,96,389.2,vacuna_pendiente,2024-08-01,Carlos
EL-0179,El Progreso,Criollo,7,358.9,vacuna_pendiente,2024-09-06,Carlos
LO-0180,Los Guaduales,Normando,41,491.9,sano,2024-07-16,Paola
LA-0181,La Pradera,Pardo Suizo,13,383.5,tratamiento,2024-09-09,Marta
EL-0182,El Roble,Holstein,113,366.6,observacion,2024-10-14,Marta
BU-0183,Buenos Aires,Criollo,31,395.2,sano,2024-12-14,Jorge
EL-0184,El Progreso,Gyr,64,457.7,sano,2024-09-29,Carlos
LA-0185,La Esperanza,Normando,28,478.0,sano,2024-08-16,Luis
LO-0186,Los Guaduales,Normando,119,408.8,tratamiento,2024-10-07,Luis
EL-0187,El Roble,Normando,68,410.4,sano,2024-08-12,Jorge
SA-0188,San Miguel,Pardo Suizo,90,321.5,sano,2024-07-16,Ana
BU-0189,Buenos Aires,Criollo,60,375.0,sano,2024-11-07,Paola
EL-0190,El Progreso,Criollo,62,239.1,sano,2024-08-12,Luis
LO-0191,Los Guaduales,Gyr,28,250.6,sano,2024-11-11,Paola
LO-0192,Los Guaduales,Normando,51,505.7,sano,2024-10-22,Luis
SA-0193,San Miguel,Normando,58,372.8,sano,2024-08-28,Jorge
EL-0194,El Progreso,Normando,93,300.2,sano,2024-07-12,Marta
SA-0195,San Miguel,Pardo Suizo,117,473.2,sano,2024-11-16,Paola
LA-0196,La Pradera,Pardo Suizo,20,458.6,sano,2024-07-13,Ana
LA-0197,La Pradera,Pardo Suizo,25,444.5,sano,2024-07-27,Ana
EL-0198,El Progreso,Normando,50,452.6,sano,2024-10-08,Carlos
LO-0199,Los Guaduales,Gyr,120,559.1,sano,2024-08-14,Paola
EL-0200,El Progreso,Normando,51,392.2,sano,2024-07-16,Luis
BU-0201,Buenos Aires,Gyr,117,477.0,sano,2024-09-21,Ana
SA-0202,Santa Lucia,Jersey,8,394.4,sano,2024-12-22,Luis
EL-0203,El Progreso,Pardo Suizo,40,458.0,vacuna_pendiente,2024-12-20,Ana
LO-0204,Los Guaduales,Normando,10,412.7,sano,2024-09-05,Paola
LA-0205,La Esperanza,Criollo,12,408.0,sano,2024-08-05,Paola
LA-0206,La Esperanza,Pardo Suizo,87,417.1,sano,2024-07-31,Jorge
BU-0207,Buenos Aires,Gyr,112,294.5,observacion,2024-08-24,Ana
LA-0208,La Pradera,Jersey,102,315.0,sano,2024-07-24,Jorge
LA-0209,La Esperanza,Holstein,83,495.4,sano,2024-10-29,Paola
BU-0210,Buenos Aires,Normando,12,479.3,sano,2024-09-22,Ana
LO-0211,Los Guaduales,Jersey,106,566.3,sano,2024-08-28,Marta
EL-0212,El Roble,Pardo Suizo,67,306.7,sano,2024-07-19,Luis
EL-0213,El Progreso,Normando,99,469.4,sano,2024-07-21,Luis
LO-0214,Los Guaduales,Holstein,112,420.2,sano,2024-09-27,Carlos
LA-0215,La Esperanza,Normando,54,178.0,observacion,2024-07-24,Carlos
SA-0216,Santa Lucia,Jersey,116,249.2,sano,2024-10-23,Jorge
BU-0217,Buenos Aires,Jersey,106,301.5,tratamiento,2024-10-26,Carlos
EL-0218,El Roble,Holstein,66,206.4,sano,2024-08-14,Luis
EL-0219,El Roble,Holstein,86,634.3,sano,2024-11-16,Paola
EL-0220,El Progreso,Jersey,45,630.2,tratamiento,2024-11-03,Paola
LA-0221,La Esperanza,Gyr,15,482.0,observacion,2024-12-17,Marta
LA-0222,La Pradera,Gyr,118,477.0,sano,2024-09-25,Carlos
BU-0223,Buenos Aires,Normando,51,403.2,vacuna_pendiente,2024-10-30,Luis
LO-0224,Los Guaduales,Gyr,25,531.9,sano,2024-12-01,Luis
LA-0225,La Esperanza,Jersey,104,397.7,observacion,2024-11-07,Carlos
LO-0226,Los Guaduales,Pardo Suizo,68,514.1,sano,2024-12-08,Jorge
EL-0227,El Progreso,Gyr,50,376.6,sano,2024-11-23,Marta
EL-0228,El Roble,Pardo Suizo,17,233.5,vacuna_pendiente,2024-11-17,Luis
LA-0229,La Pradera,Pardo Suizo,107,469.2,sano,2024-10-13,Luis
LA-0230,La Esperanza,Jersey,53,508.6,sano,2024-10-02,Jorge
LO-0231,Los Guaduales,Holstein,102,337.5,tratamiento,2024-08-26,Marta
LO-0232,Los Guaduales,Holstein,13,322.6,sano,2024-11-26,Ana
EL-0233,El Progreso,Jersey,98,387.7,sano,2024-09-30,Carlos
LA-0234,La Esperanza,Criollo,88,418.2,observacion,2024-12-24,Carlos
SA-0235,San Miguel,Holstein,107,329.7,sano,2024-12-02,Ana
SA-0236,Santa Lucia,Criollo,21,499.1,sano,2024-07-13,Jorge
BU-0237,Buenos Aires,Holstein,67,551.4,sano,2024-07-18,Ana
LA-0238,La Pradera,Criollo,54,575.5,vacuna_pendiente,2024-10-08,Paola
BU-0239,Buenos Aires,Normando,119,294.9,sano,2024-08-19,Paola
BU-0240,Buenos Aires,Holstein,109,481.1,sano,2024-11-02,Paola
LO-0241,Los Guaduales,Criollo,112,349.5,sano,2024-11-22,Luis
LA-0242,La Pradera,Jersey,99,292.2,sano,2024-07-30,Carlos
SA-0243,Santa Lucia,Pardo Suizo,33,338.9,sano,2024-07-07,Ana
EL-0244,El Roble,Normando,101,352.7,observacion,2024-08-13,Paola
LO-0245,Los Guaduales,Jersey,57,548.8,tratamiento,2024-12-29,Marta
SA-0246,Santa Lucia,Holstein,34,404.7,tratamiento,2024-11-03,Ana
EL-0247,El Roble,Holstein,81,466.8,vacuna_pendiente,2024-08-11,Ana
SA-0248,Santa Lucia,Normando,57,522.1,sano,2024-12-07,Paola
SA-0249,San Miguel,Jersey,99,420.6,sano,2024-10-29,Carlos
EL-0250,El Progreso,Gyr,60,371.8,sano,2024-11-25,Ana
LO-0251,Los Guaduales,Criollo,66,523.7,sano,2024-12-06,Ana
LA-0252,La Esperanza,Criollo,11,475.6,sano,2024-08-08,Marta
EL-0253,El Roble,Gyr,6,243.0,vacuna_pendiente,2024-12-09,Marta
SA-0254,San Miguel,Pardo Suizo,55,361.2,sano,2024-12-22,Marta
LA-0255,La Esperanza,Criollo,58,400.6,observacion,2024-11-26,Marta
EL-0256,El Progreso,Criollo,98,328.7,tratamiento,2024-08-12,Ana
LA-0257,La Esperanza,Gyr,43,376.6,sano,2024-07-27,Carlos
LO-0258,Los Guaduales,Gyr,66,310.0,observacion,2024-10-31,Paola
LA-0259,La Esperanza,Criollo,46,348.9,sano,2024-10-10,Ana
EL-0260,El Roble,Gyr,18,506.2,vacuna_pendiente,2024-12-10,Luis
BU-0261,Buenos Aires,Holstein,11,213.4,sano,2024-10-09,Jorge
LA-0262,La Esperanza,Holstein,32,231.2,sano,2024-08-09,Luis
EL-0263,El Roble,Jersey,80,416.3,sano,2024-12-18,Jorge
BU-0264,Buenos Aires,Normando,94,543.6,sano,2024-07-14,Marta
LA-0265,La Pradera,Criollo,90,549.4,observacion,2024-10-03,Luis
BU-0266,Buenos Aires,Normando,39,365.1,sano,2024-08-04,Paola
LA-0267,La Esperanza,Criollo,117,344.6,sano,2024-11-30,Ana
EL-0268,El Roble,Holstein,30,418.5,sano,2024-08-23,Ana
SA-0269,San Miguel,Normando,7,393.5,sano,2024-09-16,Carlos
SA-0270,San Miguel,Pardo Suizo,48,377.7,sano,2024-10-28,Ana
SA-0271,Santa Lucia,Jersey,120,423.4,sano,2024-11-02,Carlos
SA-0272,Santa Lucia,Pardo Suizo,14,520.4,tratamiento,2024-09-15,Luis
LA-0273,La Pradera,Gyr,109,321.2,sano,2024-12-09,Marta
EL-0274,El Progreso,Holstein,18,409.1,sano,2024-11-15,Jorge
LO-0275,Los Guaduales,Jersey,71,383.1,sano,2024-09-15,Paola
LA-0276,La Pradera,Gyr,56,400.9,sano,2024-11-29,Carlos
LA-0277,La Esperanza,Criollo,6,301.9,observacion,2024-12-29,Jorge
BU-0278,Buenos Aires,Gyr,23,488.4,sano,2024-10-12,Paola
LA-0279,La Esperanza,Gyr,27,276.3,sano,2024-12-23,Ana
SA-0280,San Miguel,Normando,34,505.7,sano,2024-09-29,Jorge
EL-0281,El Roble,Normando,71,444.9,observacion,2024-10-14,Ana
SA-0282,Santa Lucia,Jersey,116,514.3,observacion,2024-09-27,Ana
LA-0283,La Esperanza,Jersey,78,379.1,sano,2024-12-14,Carlos
SA-0284,San Miguel,Criollo,48,375.9,observacion,2024-07-28,Paola
BU-0285,Buenos Aires,Jersey,45,471.0,observacion,2024-07-30,Carlos
SA-0286,San Miguel,Jersey,25,356.8,sano,2024-12-06,Marta
EL-0287,El Roble,Normando,7,474.3,sano,2024-08-26,Luis
LO-0288,Los Guaduales,Criollo,26,375.1,vacuna_pendiente,2024-09-24,Paola
LA-0289,La Pradera,Holstein,105,315.8,tratamiento,2024-09-10,Marta
LA-0290,La Pradera,Pardo Suizo,86,485.7,sano,2024-08-01,Luis
LO-0291,Los Guaduales,Pardo Suizo,113,462.2,sano,2024-10-09,Ana
LA-0292,La Pradera,Jersey,91,221.7,sano,2024-09-16,Carlos
SA-0293,San Miguel,Criollo,26,342.3,sano,2024-09-28,Marta
LA-0294,La Pradera,Pardo Suizo,76,420.6,sano,2024-11-21,Luis
EL-0295,El Progreso,Criollo,42,328.4,sano,2024-08-25,Paola
EL-0296,El Roble,Pardo Suizo,118,467.7,vacuna_pendiente,2024-09-30,Carlos
EL-0297,El Progreso,Criollo,13,436.5,sano,2024-10-29,Paola
LA-0298,La Esperanza,Criollo,80,382.5,sano,2024-09-08,Carlos
EL-0299,El Progreso,Jersey,18,423.9,sano,2024-07-11,Marta
LA-0300,La Pradera,Pardo Suizo,53,398.8,sano,2024-11-22,Marta
EL-0301,El Progreso,Criollo,90,371.4,sano,2024-07-28,Ana
LA-0302,La Pradera,Pardo Suizo,89,267.0,sano,2024-10-25,Paola
LO-0303,Los Guaduales,Pardo Suizo,117,384.8,sano,2024-10-25,Luis
LA-0304,La Pradera,Holstein,115,417.7,observacion,2024-09-16,Luis
SA-0305,San Miguel,Normando,84,450.1,sano,2024-09-15,Carlos
EL-0306,El Roble,Normando,102,544.5,observacion,2024-10-11,Jorge
LA-0307,La Esperanza,Normando,44,504.7,observacion,2024-11-06,Paola
EL-0308,El Roble,Gyr,24,367.8,sano,2024-07-27,Ana
LO-0309,Los Guaduales,Jersey,24,505.2,sano,2024-09-29,Paola
LO-0310,Los Guaduales,Gyr,107,339.0,sano,2024-07-05,Paola
BU-0311,Buenos Aires,Jersey,24,455.7,sano,2024-11-06,Carlos
EL-0312,El Progreso,Normando,72,437.6,sano,2024-11-21,Luis
LO-0313,Los Guaduales,Pardo Suizo,70,362.5,sano,2024-11-25,Carlos
EL-0314,El Progreso,Holstein,76,432.3,sano,2024-08-28,Luis
EL-0315,El Progreso,Normando,111,427.3,sano,2024-11-04,Luis
EL-0316,El Roble,Pardo Suizo,69,421.0,sano,2024-11-08,Paola
EL-0317,El Roble,Holstein,86,328.7,sano,2024-08-04,Luis
LO-0318,Los Guaduales,Jersey,49,457.4,sano,2024-12-03,Paola
LA-0319,La Pradera,Gyr,118,310.1,sano,2024-09-15,Jorge
LA-0320,La Pradera,Pardo Suizo,12,434.4,observacion,2024-08-31,Luis
LA-0321,La Pradera,Holstein,30,479.9,tratamiento,2024-08-06,Ana
SA-0322,San Miguel,Jersey,9,307.8,sano,2024-10-16,Marta
EL-0323,El Roble,Normando,35,337.1,observacion,2024-07-16,Carlos
EL-0324,El Progreso,Holstein,29,491.1,observacion,2024-10-26,Ana
LA-0325,La Esperanza,Jersey,31,429.2,sano,2024-08-30,Jorge
BU-0326,Buenos Aires,Gyr,33,550.6,sano,2024-07-20,Luis
EL-0327,El Progreso,Jersey,113,369.6,tratamiento,2024-12-05,Ana
EL-0328,El Roble,Jersey,70,354.3,sano,2024-08-18,Jorge
EL-0329,El Progreso,Normando,108,389.6,observacion,2024-12-10,Carlos
SA-0330,Santa Lucia,Gyr,44,418.6,sano,2024-12-08,Jorge
EL-0331,El Progreso,Holstein,54,448.7,sano,2024-09-24,Carlos
BU-0332,Buenos Aires,Gyr,41,454.5,tratamiento,2024-11-14,Jorge
EL-0333,El Roble,Pardo Suizo,96,528.6,tratamiento,2024-11-08,Marta
LA-0334,La Pradera,Gyr,79,348.4,sano,2024-10-05,Luis
BU-0335,Buenos Aires,Jersey,43,481.3,sano,2024-09-27,Marta
LA-0336,La Pradera,Pardo Suizo,67,327.4,sano,2024-07-23,Ana
BU-0337,Buenos Aires,Gyr,49,593.3,vacuna_pendiente,2024-07-30,Jorge
LO-0338,Los Guaduales,Jersey,76,346.7,vacuna_pendiente,2024-10-25,Carlos
BU-0339,Buenos Aires,Normando,69,239.2,observacion,2024-12-09,Paola
EL-0340,El Progreso,Pardo Suizo,81,638.4,tratamiento,2024-11-23,Jorge
SA-0341,San Miguel,Normando,105,448.4,sano,2024-10-16,Paola
LA-0342,La Esperanza,Pardo Suizo,67,412.9,tratamiento,2024-11-10,Jorge
LA-0343,La Pradera,Jersey,50,496.7,sano,2024-08-10,Ana
BU-0344,Buenos Aires,Holstein,33,430.7,vacuna_pendiente,2024-10-20,Jorge
SA-0345,San Miguel,Normando,76,403.3,sano,2024-11-14,Paola
EL-0346,El Roble,Jersey,80,364.5,sano,2024-09-21,Marta
EL-0347,El Progreso,Holstein,110,561.5,sano,2024-12-16,Luis
LA-0348,La Esperanza,Criollo,117,353.4,sano,2024-11-13,Luis
SA-0349,Santa Lucia,Pardo Suizo,13,482.6,sano,2024-11-10,Jorge
LO-0350,Los Guaduales,Criollo,82,365.0,sano,2024-12-31,Carlos
SA-0351,Santa Lucia,Pardo Suizo,20,401.0,sano,2024-10-24,Luis
