id_clima,fecha,zona,temperatura_promedio_c,lluvia_mm,humedad_relativa_pct,observacion_climatica
C-00032,2025-09-24,Norte,30.3,12.9,82.6,tormenta
C-00033,2025-07-09,Norte,18.4,1.9,63.7,sequía leve
C-00034,2025-06-08,Norte,26.8,2.4,95.5,tormenta
C-00035,2025-08-25,Centro,18.7,55.8,62.5,lluvia
C-00036,2025-05-25,Occidente,31.0,0.0,56.7,sequía leve
C-00037,2025-04-06,Norte,20.6,0,68.8,lluvia
C-00038,2025-06-26,Oriente,25.3,0,73.8,estable
C-00039,2025-10-15,Centro,35.0,1.6,69.4,tormenta
C-00040,2025-07-27,Sur,21.1,8.4,78.1,sequía leve
C-00041,2025-12-20,Sur,20.8,9.4,50.7,soleado
C-00042,2025-01-22,Oriente,24.9,5.9,88.9,nublado
C-00043,2025-06-16,Norte,33.9,12.6,68.9,lluvia
C-00044,2025-01-06,Oriente,32.9,2.2,75.6,soleado
C-00045,2025-06-08,Centro,21.7,9.4,80.9,tormenta
C-00046,2025-07-22,Norte,32.6,9.6,86.4,tormenta
C-00047,2025-03-08,Centro,34.1,16.8,65.8,estable
C-00048,2025-04-13,Sur,23.7,21.7,63.0,soleado
C-00049,2025-11-19,Sur,31.1,70.9,73.1,lluvia
C-00050,2025-12-03,Centro,19.4,6.6,81.5,tormenta
C-00051,2025-10-03,Norte,24.3,7.5,48.6,sequía leve
C-00052,2025-02-07,Occidente,26.9,0.2,78.6,nublado
C-00053,2025-11-27,Occidente,33.4,0,59.5,lluvia
C-00054,2025-10-29,Occidente,20.0,5.1,55.6,sequía leve
C-00055,2025-04-21,Norte,24.4,0.8,84.1,soleado
C-00056,2025-12-10,Centro,22.1,14.9,51.3,nublado
C-00057,2025-11-07,Occidente,31.3,4.1,63.4,sequía leve
C-00058,2025-07-23,Norte,32.4,12.9,67.7,nublado
C-00059,2025-02-20,Oriente,16.7,3.4,95.7,tormenta
C-00060,2025-06-05,Norte,21.2,0,50.9,lluvia
C-00061,2025-01-29,Centro,19.6,9.8,58.9,soleado
C-00062,2025-07-19,Occidente,34.2,1.0,92.7,sequía leve
C-00063,2025-08-18,Sur,16.1,8.8,91.3,tormenta
C-00064,2025-08-22,Norte,22.3,0,56.5,soleado
C-00065,2025-10-23,Oriente,19.4,4.6,89.0,estable
C-00066,2025-01-05,Sur,27.5,4.1,95.3,sequía leve
C-00067,2025-01-01,Occidente,30.5,24.3,58.0,soleado
C-00068,2025-03-30,Sur,25.3,0,77.8,nublado
C-00069,2025-06-01,Sur,17.5,0,91.2,lluvia
C-00070,2025-07-21,Oriente,29.5,0,52.4,nublado
C-00071,2025-03-07,Oriente,27.2,5.1,47.5,nublado
C-00072,2025-06-04,Occidente,26.2,10.5,67.3,lluvia
C-00073,2025-12-09,Oriente,26.9,11.9,51.4,nublado
C-00074,2025-06-27,Oriente,17.4,1.5,50.5,sequía leve
C-00075,2025-03-11,Sur,16.7,1.9,74.6,nublado
C-00076,2025-01-19,Norte,18.1,0,83.8,nublado
C-00077,2025-09-12,Oriente,26.5,0,86.2,nublado
C-00078,2025-07-05,Occidente,27.6,29.3,48.2,tormenta
C-00079,2025-03-21,Oriente,25.5,9.8,55.3,soleado
C-00080,2025-08-22,Centro,17.4,64.9,76.5,sequía leve
C-00081,2025-10-11,Oriente,18.6,0,92.5,soleado
C-00082,2025-11-25,Occidente,34.0,5.7,71.8,lluvia
C-00083,2025-01-07,Sur,19.1,17.8,82.0,tormenta
C-00084,2025-01-17,Norte,23.5,0.5,56.6,tormenta
C-00085,2025-07-30,Sur,26.7,11.6,67.3,sequía leve
C-00086,2025-11-30,Oriente,21.1,0,87.0,estable
C-00087,2025-01-22,Centro,34.7,0,77.3,soleado
C-00088,2025-09-01,Oriente,21.0,8.9,83.5,soleado
C-00089,2025-06-27,Centro,21.8,13.5,54.4,nublado
C-00090,2025-09-09,Norte,22.3,6.6,74.6,nublado
C-00091,2025-05-06,Sur,33.0,12.9,53.7,lluvia
C-00092,2025-05-13,Centro,25.2,7.5,60.9,estable
C-00093,2025-02-18,Norte,23.3,10.6,66.5,tormenta
C-00094,2025-08-02,Oriente,24.4,7.6,52.2,estable
C-00095,2025-07-20,Occidente,24.4,9.2,76.0,tormenta
C-00096,2025-12-30,Oriente,33.2,15.4,61.5,estable
C-00097,2025-01-06,Centro,27.6,15.1,97.1,soleado
C-00098,2025-03-09,Centro,20.8,21.8,87.1,nublado
C-00099,2025-08-31,Sur,33.4,5.6,93.2,tormenta
C-00100,2025-08-31,Centro,19.4,8.7,93.6,soleado
C-00101,2025-01-11,Norte,34.6,8.4,87.5,nublado
C-00102,2025-10-21,Occidente,18.5,5.2,69.8,estable
C-00103,2025-09-09,Centro,31.7,10.8,49.1,sequía leve
C-00104,2025-01-02,Oriente,27.1,16.6,91.1,lluvia
C-00105,2025-12-26,Centro,24.2,6.2,53.1,soleado
C-00106,2025-01-21,Centro,17.7,17.1,52.9,estable
C-00107,2025-02-19,Centro,27.5,5.9,68.1,soleado
C-00108,2025-09-22,Occidente,23.6,0.5,68.7,sequía leve
C-00109,2025-01-11,Oriente,31.3,8.1,55.6,nublado
C-00110,2025-07-05,Sur,20.3,8.5,67.9,tormenta
C-00111,2025-03-11,Occidente,29.7,1.5,64.2,nublado
C-00112,2025-08-03,Oriente,27.2,50.7,96.4,sequía leve
C-00113,2025-11-22,Centro,19.3,0,70.8,nublado
C-00114,2025-03-08,Sur,21.4,15.5,89.0,nublado
C-00115,2025-07-09,Norte,25.6,5.5,80.8,sequía leve
C-00116,2025-11-12,Norte,20.2,9.8,48.5,tormenta
C-00117,2025-05-12,Centro,23.9,10.0,94.6,soleado
C-00118,2025-12-08,Occidente,26.4,4.4,73.8,lluvia
C-00119,2025-06-06,Occidente,24.6,9.3,80.3,tormenta
C-00120,2025-01-17,Sur,18.2,12.2,59.6,sequía leve
C-00121,2025-06-23,Occidente,29.0,7.8,71.9,sequía leve
C-00122,2025-06-25,Sur,25.3,0,60.6,estable
C-00123,2025-02-16,Occidente,22.9,0,48.1,lluvia
C-00124,2025-11-25,Centro,33.0,3.3,86.3,nublado
C-00125,2025-10-27,Sur,19.4,3.7,65.9,estable
C-00126,2025-06-23,Sur,22.6,4.6,76.5,nublado
C-00127,2025-05-18,Sur,21.6,7.4,64.2,tormenta
C-00128,2025-06-06,Oriente,23.1,0,90.6,nublado
C-00129,2025-03-14,Oriente,28.7,6.2,72.9,soleado
C-00130,2025-03-21,Centro,25.6,22.7,86.1,soleado
C-00131,2025-01-04,Oriente,30.5,2.7,48.7,soleado
C-00132,2025-10-19,Oriente,32.2,0,72.7,estable
C-00133,2025-10-13,Sur,31.6,12.5,97.8,nublado
C-00134,2025-02-12,Sur,22.0,2.6,96.7,sequía leve
C-00135,2025-12-02,Occidente,23.3,4.7,75.9,estable
C-00136,2025-02-05,Centro,20.4,15.1,66.0,soleado
C-00137,2025-11-11,Sur,26.2,10.0,66.6,soleado
C-00138,2025-08-03,Norte,31.3,0,81.6,lluvia
C-00139,2025-10-21,Sur,30.9,0,65.6,nublado
C-00140,2025-05-04,Oriente,24.1,0,55.8,lluvia
C-00141,2025-06-18,Sur,20.9,8.3,62.2,lluvia
C-00142,2025-06-07,Sur,16.3,13.1,97.6,nublado
C-00143,2025-05-31,Centro,16.5,0,49.2,estable
C-00144,2025-10-31,Sur,20.3,16.9,52.5,soleado
C-00145,2025-09-10,Sur,31.0,11.9,57.7,estable
C-00146,2025-10-12,Centro,25.5,14.3,61.0,sequía leve
C-00147,2025-10-22,Occidente,33.2,2.4,60.8,estable
C-00148,2025-06-04,Norte,28.4,0.3,65.5,soleado
C-00149,2025-03-18,Sur,25.3,0,45.3,soleado
C-00150,2025-12-18,Occidente,26.5,3.5,66.9,sequía leve
C-00151,2025-03-27,Norte,26.6,44.9,96.2,sequía leve
C-00152,2025-01-08,Sur,30.3,11.7,48.8,soleado
C-00153,2025-09-24,Occidente,34.5,8.9,92.3,estable
C-00154,2025-03-17,Sur,30.8,0,73.2,nublado
C-00155,2025-03-23,Occidente,25.9,21.0,85.9,nublado
C-00156,2025-03-12,Occidente,29.0,0,69.3,sequía leve
C-00157,2025-11-01,Centro,23.7,0,80.4,tormenta
C-00158,2025-02-20,Norte,26.9,1.8,83.7,soleado
C-00159,2025-01-31,Oriente,19.8,0,88.9,nublado
C-00160,2025-03-18,Occidente,20.4,10.7,69.9,soleado
C-00161,2025-06-09,Norte,25.5,6.8,93.3,tormenta
C-00162,2025-07-05,Norte,19.7,0,90.5,soleado
C-00163,2025-01-29,Sur,30.7,5.0,78.6,tormenta
C-00164,2025-12-20,Occidente,19.9,0,57.3,tormenta
C-00165,2025-03-06,Occidente,33.0,6.5,70.4,estable
C-00166,2025-04-20,Occidente,27.1,24.4,84.5,sequía leve
C-00167,2025-11-07,Sur,17.8,10.9,61.8,nublado
C-00168,2025-02-23,Centro,29.6,5.9,45.1,estable
C-00169,2025-11-19,Norte,34.3,12.3,50.5,tormenta
C-00170,2025-01-27,Sur,33.3,61.9,72.2,nublado
C-00171,2025-03-05,Norte,24.9,15.1,89.6,lluvia
C-00172,2025-10-25,Occidente,25.7,7.3,78.8,nublado
C-00173,2025-10-02,Centro,27.9,0,52.7,nublado
C-00174,2025-05-20,Occidente,17.3,5.8,90.5,tormenta
C-00175,2025-09-14,Sur,26.3,23.8,50.6,sequía leve
C-00176,2025-11-27,Sur,32.5,8.9,54.5,lluvia
C-00177,2025-08-15,Occidente,34.7,17.0,53.3,sequía leve
C-00178,2025-11-07,Oriente,17.0,4.3,76.1,soleado
C-00179,2025-04-07,Oriente,19.4,5.0,72.9,tormenta
C-00180,2025-05-27,Occidente,33.5,2.0,87.0,nublado
C-00181,2025-01-27,Centro,30.3,20.3,72.2,soleado
C-00182,2025-05-07,Occidente,16.5,0,75.3,sequía leve
C-00183,2025-10-14,Centro,34.0,16.1,68.7,tormenta
C-00184,2025-03-10,Centro,20.1,7.5,84.4,tormenta
C-00185,2025-06-06,Norte,18.6,0.2,91.4,nublado
C-00186,2025-06-08,Occidente,30.9,9.5,67.6,estable
C-00187,2025-09-16,Sur,17.0,18.6,92.3,lluvia
C-00188,2025-01-07,Occidente,29.3,0.5,97.3,lluvia
C-00189,2025-01-21,Occidente,29.4,0,71.8,tormenta
C-00190,2025-04-29,Oriente,27.6,2.3,62.8,soleado
C-00191,2025-09-02,Norte,30.8,0,92.3,lluvia
C-00192,2025-04-22,Norte,33.0,7.0,69.4,sequía leve
C-00193,2025-01-10,Centro,20.1,14.8,75.5,nublado
C-00194,2025-01-31,Occidente,17.8,8.7,84.9,estable
C-00195,2025-11-14,Oriente,19.9,0,60.8,soleado
C-00196,2025-01-31,Sur,25.5,15.1,76.1,tormenta
C-00197,2025-02-21,Centro,18.7,8.9,61.0,tormenta
C-00198,2025-06-23,Norte,19.9,6.4,73.2,lluvia
C-00199,2025-06-23,Centro,34.7,5.1,56.2,sequía leve
C-00200,2025-08-18,Norte,26.7,0,87.6,sequía leve
C-00201,2025-11-21,Oriente,32.3,11.6,61.6,soleado
C-00202,2025-05-17,Occidente,17.0,9.4,55.1,soleado
C-00203,2025-06-09,Centro,17.0,10.4,90.5,tormenta
C-00204,2025-10-21,Oriente,28.6,1.0,58.6,estable
C-00205,2025-02-14,Occidente,23.6,5.6,51.8,estable
C-00206,2025-09-28,Sur,29.6,3.2,62.0,sequía leve
C-00207,2025-05-21,Centro,20.7,7.2,95.2,sequía leve
C-00208,2025-11-24,Norte,25.0,0.7,65.7,tormenta
C-00209,2025-12-10,Norte,25.5,8.3,67.6,nublado
C-00210,2025-04-24,Sur,33.7,9.8,72.0,tormenta
C-00211,2025-03-07,Norte,16.7,0,76.6,nublado
C-00212,2025-04-17,Oriente,22.6,3.7,79.8,lluvia
C-00213,2025-05-05,Norte,19.4,0,81.4,nublado
C-00214,2025-03-11,Norte,29.1,9.2,57.1,lluvia
C-00215,2025-10-14,Norte,33.2,0,70.5,soleado
C-00216,2025-11-03,Sur,26.1,0,49.8,estable
C-00217,2025-01-19,Oriente,25.6,21.8,67.8,lluvia
C-00218,2025-05-18,Occidente,24.3,1.1,64.8,tormenta
C-00219,2025-01-01,Oriente,23.5,4.5,46.5,nublado
C-00220,2025-07-02,Sur,27.2,12.2,54.2,lluvia
C-00221,2025-04-17,Oriente,34.0,24.7,68.7,estable
C-00222,2025-06-17,Centro,26.3,0.4,58.5,tormenta
C-00223,2025-01-11,Oriente,21.8,8.1,73.3,lluvia
C-00224,2025-10-06,Sur,17.0,15.0,58.5,tormenta
C-00225,2025-06-17,Centro,34.5,2.0,84.8,lluvia
C-00226,2025-04-11,Sur,32.2,16.0,69.3,lluvia
C-00227,2025-08-11,Occidente,31.0,11.7,75.1,tormenta
C-00228,2025-12-13,Sur,28.8,10.1,88.2,nublado
C-00229,2025-05-09,Norte,19.8,17.3,81.1,lluvia
C-00230,2025-12-18,Sur,24.1,0,79.4,soleado
C-00231,2025-09-18,Norte,23.9,8.6,58.4,sequía leve
C-00232,2025-06-18,Norte,31.2,0.8,46.2,nublado
C-00233,2025-12-25,Norte,16.6,2.5,59.1,sequía leve
C-00234,2025-08-20,Sur,21.3,0,54.3,tormenta
C-00235,2025-12-06,Sur,34.1,6.5,96.0,sequía leve
C-00236,2025-04-03,Norte,26.2,24.2,93.5,nublado
C-00237,2025-02-04,Occidente,24.3,18.5,87.6,nublado
C-00238,2025-08-14,Centro,34.5,7.6,67.5,tormenta
C-00239,2025-11-02,Sur,28.7,8.1,84.3,soleado
C-00240,2025-06-16,Centro,21.9,0,77.8,sequía leve
C-00241,2025-02-24,Occidente,24.7,9.6,68.3,lluvia
C-00242,2025-10-31,Occidente,25.6,3.8,93.6,soleado
C-00243,2025-08-04,Norte,23.9,0,91.8,sequía leve
C-00244,2025-10-02,Centro,22.5,1.0,70.7,tormenta
C-00245,2025-09-25,Centro,26.6,0.3,65.0,nublado
C-00246,2025-12-07,Oriente,23.1,0,47.0,estable
C-00247,2025-06-27,Centro,30.3,64.7,68.5,nublado
C-00248,2025-06-28,Oriente,20.7,0,64.1,soleado
C-00249,2025-05-27,Norte,31.8,0,80.2,estable
C-00250,2025-08-05,Oriente,28.7,5.6,47.5,nublado
C-00251,2025-10-09,Sur,23.2,6.8,87.6,lluvia
C-00252,2025-12-28,Sur,21.7,8.2,85.6,nublado
C-00253,2025-01-17,Sur,18.0,13.2,82.3,estable
C-00254,2025-08-01,Centro,26.1,5.3,60.1,nublado
C-00255,2025-08-28,Occidente,30.9,11.9,92.5,estable
C-00256,2025-01-02,Occidente,31.7,0,87.1,sequía leve
C-00257,2025-12-30,Sur,29.8,5.5,85.7,lluvia
C-00258,2025-05-10,Oriente,18.9,0,88.7,lluvia
C-00259,2025-05-20,Norte,28.8,2.4,83.6,sequía leve
C-00260,2025-10-16,Centro,18.3,10.9,95.7,tormenta
C-00261,2025-08-20,Sur,17.0,1.1,79.6,estable
C-00262,2025-02-09,Occidente,17.2,4.1,81.5,nublado
C-00263,2025-09-04,Oriente,25.6,0,81.2,sequía leve
C-00264,2025-05-31,Centro,22.5,6.1,75.6,lluvia
C-00265,2025-03-09,Occidente,25.1,9.3,64.2,sequía leve
C-00266,2025-01-12,Norte,22.1,8.5,72.8,tormenta
C-00267,2025-11-29,Centro,32.6,16.5,82.1,tormenta
C-00268,2025-01-23,Centro,26.9,40.1,67.0,estable
C-00269,2025-06-12,Sur,30.1,3.2,63.7,estable
C-00270,2025-04-14,Norte,29.7,7.1,46.3,sequía leve
C-00271,2025-01-13,Norte,33.7,15.7,50.5,soleado
C-00272,2025-12-02,Sur,32.2,6.1,64.2,nublado
C-00273,2025-10-18,Centro,21.3,8.1,46.9,estable
C-00274,2025-05-24,Norte,17.6,4.8,46.3,nublado
C-00275,2025-09-30,Sur,21.2,5.4,57.3,tormenta
C-00276,2025-07-14,Oriente,25.4,0,96.6,sequía leve
C-00277,2025-02-23,Centro,34.4,9.6,54.0,nublado
C-00278,2025-10-25,Centro,33.5,0,51.3,estable
C-00279,2025-12-06,Norte,22.7,15.1,91.5,sequía leve
C-00280,2025-11-18,Oriente,32.4,12.6,76.6,sequía leve
C-00281,2025-04-16,Sur,31.9,9.4,94.0,nublado
C-00282,2025-03-04,Sur,22.7,0,60.6,sequía leve
C-00283,2025-11-22,Occidente,16.9,9.1,52.8,estable
C-00284,2025-06-20,Centro,31.0,15.2,77.7,lluvia
C-00285,2025-01-18,Norte,23.1,0.1,91.2,estable
C-00286,2025-10-01,Occidente,19.2,8.0,64.2,soleado
C-00287,2025-11-04,Centro,21.4,12.6,91.8,estable
C-00288,2025-10-01,Centro,17.2,12.8,50.5,estable
C-00289,2025-12-11,Centro,19.8,5.7,92.9,lluvia
C-00290,2025-04-15,Sur,27.8,12.2,84.3,soleado
C-00291,2025-12-22,Occidente,30.6,2.7,53.8,lluvia
C-00292,2025-05-17,Oriente,26.1,7.8,48.7,sequía leve
C-00293,2025-11-13,Centro,22.1,5.2,84.5,lluvia
C-00294,2025-08-26,Occidente,24.4,54.5,84.2,soleado
C-00295,2025-02-06,Oriente,33.0,5.8,66.3,soleado
C-00296,2025-12-22,Oriente,18.7,5.6,90.8,tormenta
C-00297,2025-05-22,Sur,31.4,5.8,62.2,nublado
C-00298,2025-07-05,Occidente,32.2,9.6,63.0,nublado
C-00299,2025-06-28,Sur,32.1,12.6,62.9,lluvia
C-00300,2025-03-07,Norte,17.8,5.6,86.9,nublado
C-00301,2025-11-22,Norte,29.4,11.6,55.0,estable
C-00302,2025-04-20,Sur,29.8,12.8,47.2,lluvia
C-00303,2025-02-19,Centro,33.8,4.6,58.3,soleado
C-00304,2025-01-21,Oriente,20.9,7.8,56.2,estable
C-00305,2025-12-31,Centro,28.2,4.5,56.9,tormenta
C-00306,2025-03-11,Centro,24.3,25.0,95.4,tormenta
C-00307,2025-09-21,Occidente,17.4,0,76.1,sequía leve
C-00308,2025-08-01,Oriente,34.5,7.7,48.8,tormenta
C-00309,2025-11-02,Centro,32.8,8.3,46.2,tormenta
C-00310,2025-07-27,Occidente,30.8,3.8,63.4,nublado
C-00311,2025-03-31,Occidente,25.8,0,77.5,estable
C-00312,2025-07-09,Norte,16.8,0,55.7,soleado
C-00313,2025-02-12,Norte,30.8,1.9,92.2,nublado
C-00314,2025-11-20,Occidente,17.6,0,57.9,lluvia
C-00315,2025-09-10,Oriente,19.1,27.0,76.0,nublado
C-00316,2025-08-24,Centro,31.6,6.0,93.1,tormenta
C-00317,2025-12-07,Occidente,20.8,8.9,46.1,nublado
C-00318,2025-09-29,Sur,22.9,3.0,86.2,nublado
C-00319,2025-07-22,Sur,28.5,0,60.5,sequía leve
C-00320,2025-09-24,Oriente,26.4,15.2,56.6,estable
C-00321,2025-02-01,Centro,33.3,9.7,82.2,sequía leve
C-00322,2025-03-16,Occidente,23.6,0,55.3,sequía leve
C-00323,2025-04-13,Sur,30.7,0,91.7,estable
C-00324,2025-07-31,Occidente,33.8,0,50.7,estable
C-00325,2025-10-21,Oriente,27.4,0,65.4,estable
C-00326,2025-01-23,Oriente,22.5,0,79.9,soleado
C-00327,2025-04-17,Centro,17.7,0,97.4,estable
C-00328,2025-07-11,Norte,23.4,0.6,63.6,sequía leve
C-00329,2025-12-03,Sur,17.9,0.9,68.2,lluvia
C-00330,2025-05-07,Oriente,30.2,12.9,94.8,lluvia
C-00331,2025-04-21,Centro,17.5,9.7,65.0,estable
C-00332,2025-08-13,Oriente,32.6,17.8,69.9,sequía leve
C-00333,2025-10-11,Centro,31.9,3.1,67.1,estable
C-00334,2025-10-31,Sur,29.7,0,70.6,tormenta
C-00335,2025-08-19,Norte,16.5,3.2,48.9,nublado
C-00336,2025-06-03,Centro,34.4,0.6,72.0,sequía leve
C-00337,2025-07-25,Oriente,31.5,0,75.3,sequía leve
C-00338,2025-08-23,Sur,22.3,7.7,57.1,tormenta
C-00339,2025-12-14,Centro,26.0,16.0,60.5,lluvia
C-00340,2025-01-15,Occidente,17.9,7.8,65.8,tormenta
C-00341,2025-05-01,Norte,27.2,0,49.4,estable
C-00342,2025-04-15,Occidente,34.6,4.3,59.0,sequía leve
C-00343,2025-02-18,Centro,17.5,1.0,63.3,tormenta
C-00344,2025-08-27,Occidente,22.8,0,53.0,sequía leve
C-00345,2025-09-20,Sur,26.8,10.5,97.9,estable
C-00346,2025-05-11,Norte,32.7,5.7,89.8,lluvia
C-00347,2025-02-28,Norte,24.7,8.6,85.3,soleado
C-00348,2025-03-13,Norte,27.4,0,85.0,estable
C-00349,2025-07-20,Occidente,19.8,12.5,80.5,soleado
C-00350,2025-12-06,Oriente,16.5,4.5,60.1,tormenta
C-00351,2025-02-14,Oriente,17.9,6.5,89.9,estable
C-00352,2025-04-27,Oriente,32.3,7.9,62.5,soleado
C-00353,2025-07-31,Sur,25.6,68.8,62.4,lluvia
C-00354,2025-04-20,Sur,27.5,10.9,49.5,sequía leve
C-00355,2025-05-28,Norte,21.1,2.6,92.0,tormenta
C-00356,2025-07-28,Occidente,34.4,0,56.6,estable
C-00357,2025-11-01,Sur,24.3,21.9,86.8,sequía leve
C-00358,2025-06-07,Centro,33.6,18.2,94.4,lluvia
C-00359,2025-08-11,Norte,32.3,13.5,63.7,soleado
C-00360,2025-05-22,Centro,22.9,8.1,70.3,sequía leve
C-00361,2025-07-10,Occidente,24.2,0,56.2,nublado
C-00362,2025-05-23,Occidente,25.8,20.0,90.3,soleado
C-00363,2025-11-19,Oriente,32.9,7.9,91.5,estable
C-00364,2025-04-02,Oriente,31.0,0,48.7,lluvia
C-00365,2025-09-26,Sur,21.3,8.7,74.4,tormenta
C-00366,2025-12-01,Norte,33.7,3.3,69.2,sequía leve
C-00367,2025-08-22,Occidente,28.2,8.6,60.8,soleado
C-00368,2025-05-30,Oriente,17.3,19.0,89.6,tormenta
C-00369,2025-04-27,Sur,27.3,8.4,59.9,estable
C-00370,2025-12-31,Sur,16.5,4.8,45.8,nublado
C-00371,2025-09-02,Norte,31.5,19.8,78.0,nublado
C-00372,2025-05-12,Occidente,23.2,0,50.4,soleado
C-00373,2025-07-28,Occidente,19.1,11.5,72.4,lluvia
C-00374,2025-05-25,Oriente,28.9,0.4,96.0,soleado
C-00375,2025-10-06,Centro,18.4,22.7,86.8,nublado
C-00376,2025-07-29,Sur,25.1,0,52.6,lluvia
C-00377,2025-05-26,Sur,24.3,13.8,76.4,estable
C-00378,2025-07-25,Norte,27.1,0,56.2,lluvia
C-00379,2025-07-03,Oriente,23.6,21.7,89.0,tormenta
C-00380,2025-07-31,Occidente,16.7,0,45.4,nublado
C-00381,2025-05-06,Centro,17.9,10.8,68.7,tormenta
C-00382,2025-08-27,Sur,25.3,1.4,86.4,nublado
C-00383,2025-02-20,Oriente,34.0,15.6,68.8,nublado
C-00384,2025-06-13,Oriente,21.1,0,80.1,nublado
C-00385,2025-01-12,Occidente,29.6,3.8,88.6,sequía leve
C-00386,2025-10-12,Sur,27.8,14.7,95.3,soleado
C-00387,2025-06-19,Occidente,31.1,9.5,94.6,tormenta
C-00388,2025-02-11,Oriente,19.7,4.7,94.3,soleado
C-00389,2025-05-14,Norte,31.7,8.7,77.7,nublado
C-00390,2025-06-27,Occidente,24.0,47.4,59.6,estable
C-00391,2025-03-09,Centro,28.0,7.8,46.3,soleado
C-00392,2025-06-18,Sur,24.1,0,86.8,soleado
C-00393,2025-01-23,Occidente,32.3,0.8,94.0,soleado
C-00394,2025-02-13,Centro,27.0,15.2,75.1,tormenta
C-00395,2025-02-24,Centro,34.6,9.1,69.5,tormenta
C-00396,2025-10-17,Oriente,25.5,0.3,82.8,tormenta
C-00397,2025-01-07,Occidente,27.7,8.1,72.7,sequía leve
C-00398,2025-10-03,Occidente,32.0,1.5,59.8,lluvia
C-00399,2025-01-14,Norte,32.0,4.7,70.0,estable
C-00400,2025-09-05,Norte,27.4,2.3,83.3,tormenta
C-00401,2025-09-15,Norte,34.9,0,73.5,tormenta
C-00402,2025-10-11,Oriente,33.9,0,75.1,soleado
C-00403,2025-05-24,Norte,29.0,13.1,78.8,tormenta
C-00404,2025-06-19,Norte,25.2,0,52.7,soleado
C-00405,2025-08-19,Occidente,24.3,2.5,61.0,tormenta
C-00406,2025-12-30,Norte,32.2,8.2,85.0,lluvia
C-00407,2025-09-03,Sur,23.3,6.5,72.4,sequía leve
C-00408,2025-03-21,Centro,30.8,3.6,69.0,sequía leve
C-00409,2025-06-14,Oriente,26.8,13.0,76.0,estable
C-00410,2025-09-01,Occidente,29.9,0.1,71.7,soleado
C-00411,2025-02-13,Sur,19.0,0.9,65.7,sequía leve
C-00412,2025-12-23,Oriente,25.3,10.9,65.6,tormenta
C-00413,2025-04-19,Norte,17.3,0,53.8,nublado
C-00414,2025-11-29,Sur,16.1,0,75.8,lluvia
C-00415,2025-04-18,Norte,24.3,0,74.3,soleado
C-00416,2025-04-15,Occidente,29.7,0,56.3,nublado
C-00417,2025-03-29,Centro,31.6,10.9,73.3,sequía leve
C-00418,2025-03-23,Sur,23.4,14.6,54.0,sequía leve
C-00419,2025-11-29,Occidente,23.1,1.4,88.8,lluvia
C-00420,2025-09-11,Sur,28.7,15.3,94.4,nublado
C-00421,2025-05-02,Oriente,23.5,17.0,58.9,tormenta
C-00422,2025-06-09,Norte,31.6,3.7,49.4,tormenta
C-00423,2025-08-12,Centro,18.1,0,80.0,soleado
C-00424,2025-11-02,Norte,28.2,17.0,66.0,lluvia
C-00425,2025-11-09,Sur,22.8,3.0,48.2,estable
C-00426,2025-10-29,Centro,20.3,12.1,84.7,nublado
C-00427,2025-10-16,Occidente,16.5,36.9,87.3,lluvia
