id_registro,fecha,finca,codigo_animal,turno,litros,temperatura_c,observacion,tecnico
L-00080,2025-02-09,El Roble,LA-1569,manana,8.78,29.4,baja alimentacion,Paola
L-00081,2025-05-29,El Progreso,SA-1797,manana,15.48,20.9,normal,Marta
L-00082,2025-06-04,El Progreso,EL-0643,tarde,11.95,20.3,normal,Luis
L-00083,2025-11-08,La Esperanza,EL-1052,manana,12.44,31.3,lluvia fuerte,Jorge
L-00084,2025-10-30,El Progreso,LO-0169,manana,8.82,18.8,sin novedad,Luis
L-00085,2025-03-23,La Pradera,LO-2019,tarde,10.86,24.4,revisar vacuna,Marta
L-00086,2025-12-04,San Miguel,SA-1629,tarde,9.75,33.0,animal en control,Carlos
L-00087,2025-08-01,El Progreso,BU-0809,tarde,9.04,22.1,lluvia fuerte,Luis
L-00088,2025-02-04,Buenos Aires,LO-2420,tarde,13.05,24.7,normal,Carlos
L-00089,2025-07-28,San Miguel,EL-0948,tarde,11.96,31.7,lluvia fuerte,Paola
L-00090,2025-04-19,La Esperanza,LA-0944,manana,17.74,22.8,dato estimado,Ana
L-00091,2025-06-14,La Esperanza,LA-1613,manana,10.9,21.9,sin novedad,Carlos
L-00092,2025-11-10,San Miguel,SA-0800,tarde,10.98,23.5,baja alimentacion,Marta
L-00093,2025-08-18,Santa Lucia,EL-2091,manana,10.69,17.4,revisar vacuna,Marta
L-00094,2025-10-31,La Esperanza,LO-2455,tarde,14.11,20.9,lluvia fuerte,Jorge
L-00095,2025-02-22,Los Guaduales,LO-1689,tarde,16.29,22.3,sin novedad,Paola
L-00096,2025-04-16,Santa Lucia,SA-0725,tarde,13.34,31.8,normal,Marta
L-00097,2025-11-26,La Pradera,LA-2336,tarde,8.05,22.6,normal,Carlos
L-00098,2025-07-14,Los Guaduales,SA-1564,manana,16.33,20.2,revisar vacuna,Ana
L-00099,2025-06-24,La Pradera,LA-1355,manana,11.76,22.6,baja alimentacion,Ana
L-00100,2025-03-25,La Pradera,SA-1702,manana,12.98,18.9,dato estimado,Paola
L-00101,2025-09-04,La Esperanza,SA-1678,manana,12.76,29.2,animal en control,Paola
L-00102,2025-03-21,La Pradera,SA-0635,manana,9.28,20.8,animal en control,Jorge
L-00103,2025-11-14,La Esperanza,LA-0252,manana,6.98,20.3,animal en control,Paola
L-00104,2025-03-06,San Miguel,LA-1090,tarde,19.13,30.2,dato estimado,Carlos
L-00105,2025-01-26,El Progreso,LO-1186,tarde,11.38,18.3,dato estimado,Carlos
L-00106,2025-04-16,La Pradera,LA-1403,tarde,52,31.8,lluvia fuerte,Ana
L-00107,2025-07-02,Buenos Aires,EL-1692,tarde,15.93,22.7,normal,Jorge
L-00108,2025-05-11,Buenos Aires,BU-1598,tarde,6.22,23.2,revisar vacuna,Paola
L-00109,2025-11-09,Santa Lucia,LO-1401,manana,16.13,26.5,revisar vacuna,Carlos
L-00110,2025-04-05,Los Guaduales,LA-0267,tarde,8.62,17.1,dato estimado,Luis
L-00111,2025-05-19,Buenos Aires,EL-0636,tarde,14.06,33.8,lluvia fuerte,Ana
L-00112,2025-05-22,San Miguel,SA-2265,manana,8.38,27.8,sin novedad,Luis
L-00113,2025-05-06,La Esperanza,LA-2099,tarde,8.04,30.2,baja alimentacion,Marta
L-00114,2025-05-10,La Esperanza,SA-1175,manana,10.93,26.9,baja alimentacion,Marta
L-00115,2025-10-24,El Roble,EL-1814,manana,12.15,32.3,dato estimado,Luis
L-00116,2025-11-05,La Esperanza,LO-0155,manana,12.59,25.6,baja alimentacion,Luis
L-00117,2025-12-08,San Miguel,EL-0580,tarde,11.37,31.4,dato estimado,Marta
L-00118,2025-07-22,La Esperanza,EL-1553,tarde,7.97,29.7,animal en control,Paola
L-00119,2025-07-01,La Esperanza,BU-0145,tarde,5.96,31.1,dato estimado,Jorge
L-00120,2025-04-09,El Roble,EL-0312,tarde,12.68,29.4,animal en control,Jorge
L-00121,2025-09-08,El Progreso,LA-1487,tarde,9.44,17.9,lluvia fuerte,Ana
L-00122,2025-02-13,San Miguel,BU-1299,manana,12.86,20.6,sin novedad,Marta
L-00123,2025-04-19,San Miguel,SA-0236,tarde,10.4,21.4,normal,Carlos
L-00124,2025-12-30,San Miguel,SA-1345,tarde,10.47,30.7,sin novedad,Luis
L-00125,2025-02-01,El Progreso,SA-1728,manana,8.61,30.6,normal,Ana
L-00126,2025-12-11,La Pradera,SA-1955,tarde,12.67,28.4,dato estimado,Jorge
L-00127,2025-06-05,Los Guaduales,LA-0060,tarde,17.13,33.1,animal en control,Paola
L-00128,2025-05-09,El Progreso,LA-0975,tarde,10.56,22.4,sin novedad,Paola
L-00129,2025-12-24,El Progreso,SA-1869,tarde,14.16,21.9,dato estimado,Luis
L-00130,2025-02-13,La Pradera,EL-0317,tarde,8.93,32.5,lluvia fuerte,Ana
L-00131,2025-10-18,Santa Lucia,EL-0194,tarde,9.8,28.3,dato estimado,Luis
L-00132,2025-01-14,La Esperanza,SA-1021,tarde,16.77,32.2,lluvia fuerte,Jorge
L-00133,2025-05-03,El Progreso,SA-1917,manana,17.31,18.7,lluvia fuerte,Carlos
L-00134,2025-01-09,El Roble,EL-0851,tarde,8.58,30.6,sin novedad,Carlos
L-00135,2025-05-31,Los Guaduales,EL-2157,manana,10.11,28.5,dato estimado,Marta
L-00136,2025-09-30,Los Guaduales,SA-1852,manana,10.46,19.4,revisar vacuna,Marta
L-00137,2025-02-24,Los Guaduales,LA-2193,tarde,13.22,32.1,animal en control,Marta
L-00138,2025-10-24,La Esperanza,BU-2084,tarde,9.74,26.0,revisar vacuna,Ana
L-00139,2025-10-31,El Roble,BU-2188,tarde,13.03,24.5,dato estimado,Jorge
L-00140,2025-12-16,San Miguel,LA-1602,tarde,11.52,33.6,sin novedad,Jorge
L-00141,2025-04-22,San Miguel,LA-2216,tarde,15.67,21.7,sin novedad,Paola
L-00142,2025-03-06,Buenos Aires,EL-0504,manana,11.9,24.5,lluvia fuerte,Carlos
L-00143,2025-10-09,La Pradera,EL-0866,manana,11.19,26.3,normal,Luis
L-00144,2025-11-18,Los Guaduales,LO-0021,manana,12.74,18.8,dato estimado,Luis
L-00145,2025-07-23,La Esperanza,SA-1893,manana,2.77,27.4,animal en control,Marta
L-00146,2025-05-11,El Progreso,LA-1529,manana,11.24,29.1,sin novedad,Luis
L-00147,2025-06-11,La Pradera,LO-1806,tarde,5.94,19.9,sin novedad,Luis
L-00148,2025-10-14,Santa Lucia,EL-0854,manana,11.3,29.4,dato estimado,Jorge
L-00149,2025-04-02,La Esperanza,BU-2141,manana,12.46,19.1,animal en control,Paola
L-00150,2025-02-28,La Esperanza,SA-2478,manana,7.32,17.6,dato estimado,Ana
L-00151,2025-08-17,San Miguel,LA-1071,manana,10.59,29.7,baja alimentacion,Carlos
L-00152,2025-11-22,La Pradera,SA-1399,tarde,12.42,28.6,dato estimado,Luis
L-00153,2025-03-02,La Esperanza,BU-1841,manana,16.35,28.5,dato estimado,Jorge
L-00154,2025-01-15,Buenos Aires,BU-2326,manana,8.06,19.4,normal,Carlos
L-00155,2025-09-09,La Pradera,LA-0080,tarde,11.4,31.7,dato estimado,Luis
L-00156,2025-03-10,El Roble,EL-1927,manana,9.7,20.7,normal,Ana
L-00157,2025-06-20,Santa Lucia,LA-2256,manana,8.63,27.7,animal en control,Luis
L-00158,2025-09-23,San Miguel,LA-0794,manana,5.54,18.4,lluvia fuerte,Jorge
L-00159,2025-08-20,El Roble,SA-1659,manana,10.52,18.1,dato estimado,Paola
L-00160,2025-01-15,Los Guaduales,LA-0277,tarde,13.53,26.0,revisar vacuna,Paola
L-00161,2025-01-30,El Progreso,SA-1094,manana,11.89,23.4,animal en control,Luis
L-00162,2025-07-15,El Progreso,BU-0125,manana,12.21,21.1,dato estimado,Jorge
L-00163,2025-03-31,La Esperanza,SA-1399,manana,11.28,24.0,sin novedad,Paola
L-00164,2025-02-12,La Esperanza,LA-1838,tarde,14.73,30.4,revisar vacuna,Luis
L-00165,2025-11-09,El Progreso,LO-1469,tarde,13.52,19.3,sin novedad,Paola
L-00166,2025-06-18,La Pradera,LO-0415,manana,7.59,19.4,baja alimentacion,Carlos
L-00167,2025-06-05,Santa Lucia,LA-2408,tarde,9.33,33.3,dato estimado,Luis
L-00168,2025-12-01,San Miguel,LO-0381,manana,16.52,27.7,revisar vacuna,Marta
L-00169,2025-01-01,San Miguel,SA-1180,tarde,12.31,23.1,baja alimentacion,Carlos
L-00170,2025-01-04,El Roble,EL-1610,tarde,13.97,19.0,dato estimado,Jorge
L-00171,2025-05-20,Los Guaduales,LA-2418,manana,10.03,30.0,sin novedad,Luis
L-00172,2025-10-24,Los Guaduales,EL-1553,manana,5.01,25.1,sin novedad,Jorge
L-00173,2025-09-27,San Miguel,SA-2463,manana,9.49,19.6,sin novedad,Marta
L-00174,2025-01-19,Los Guaduales,LO-2382,manana,7.07,31.5,dato estimado,Ana
L-00175,2025-02-24,Santa Lucia,SA-0756,tarde,10.77,20.3,lluvia fuerte,Carlos
L-00176,2025-01-12,La Pradera,BU-0367,manana,16.74,21.8,dato estimado,Jorge
L-00177,2025-03-19,Santa Lucia,BU-1555,manana,4.34,19.7,lluvia fuerte,Paola
L-00178,2025-05-26,Buenos Aires,SA-1417,tarde,7.6,27.7,lluvia fuerte,Paola
L-00179,2025-03-22,El Progreso,LA-1966,manana,8.43,28.1,lluvia fuerte,Ana
L-00180,2025-05-17,El Roble,EL-0548,manana,12.11,26.0,dato estimado,Luis
L-00181,2025-01-12,El Progreso,EL-2023,manana,15.03,23.3,dato estimado,Ana
L-00182,2025-12-08,Santa Lucia,LA-1484,manana,8.52,32.2,baja alimentacion,Carlos
L-00183,2025-12-28,Buenos Aires,SA-2196,manana,11.69,29.7,sin novedad,Carlos
L-00184,2025-02-12,Santa Lucia,LO-0067,manana,7.88,26.0,normal,Carlos
L-00185,2025-01-24,El Progreso,LA-1413,manana,8.21,33.5,animal en control,Carlos
L-00186,2025-04-19,La Pradera,SA-0235,manana,8.59,24.7,lluvia fuerte,Marta
L-00187,2025-03-18,La Esperanza,EL-1253,tarde,7.98,32.9,revisar vacuna,Ana
L-00188,2025-07-25,Los Guaduales,BU-0143,tarde,8.17,26.6,animal en control,Jorge
L-00189,2025-10-04,La Esperanza,LO-1151,manana,10.51,22.7,sin novedad,Paola
L-00190,2025-09-04,San Miguel,LO-1401,manana,8.19,24.9,normal,Luis
L-00191,2025-12-30,El Roble,LO-2482,tarde,10.93,20.5,revisar vacuna,Marta
L-00192,2025-08-07,La Esperanza,LO-1088,tarde,9.09,30.6,normal,Luis
L-00193,2025-02-11,El Progreso,SA-1737,tarde,11.25,23.0,lluvia fuerte,Luis
L-00194,2025-03-26,Santa Lucia,SA-1977,tarde,5.18,21.6,normal,Marta
L-00195,2025-03-08,Los Guaduales,LA-1328,manana,16.55,28.1,sin novedad,Carlos
L-00196,2025-06-26,El Roble,EL-1735,tarde,9.81,31.1,lluvia fuerte,Jorge
L-00197,2025-03-07,Buenos Aires,SA-0162,tarde,5.62,21.2,normal,Luis
L-00198,2025-10-29,San Miguel,EL-0494,tarde,9.7,23.3,revisar vacuna,Luis
L-00199,2025-02-13,El Roble,EL-0466,manana,13.39,33.7,lluvia fuerte,Ana
L-00200,2025-11-19,El Progreso,SA-0657,tarde,9.46,26.9,animal en control,Marta
L-00201,2025-09-11,La Esperanza,BU-0015,manana,12.23,28.4,lluvia fuerte,Paola
L-00202,2025-01-11,Buenos Aires,SA-0398,manana,12.57,18.6,normal,Luis
L-00203,2025-03-15,Los Guaduales,EL-0471,manana,11.12,24.6,sin novedad,Carlos
L-00204,2025-09-17,San Miguel,SA-1113,manana,16.24,24.5,dato estimado,Paola
L-00205,2025-08-18,El Progreso,LA-1771,tarde,11.1,22.4,sin novedad,Carlos
L-00206,2025-07-21,San Miguel,LA-1459,tarde,6.02,30.0,revisar vacuna,Marta
L-00207,2025-02-25,Los Guaduales,SA-1237,manana,7.9,21.2,dato estimado,Luis
L-00208,2025-03-21,Buenos Aires,SA-0695,manana,9.11,23.4,baja alimentacion,Marta
L-00209,2025-01-30,La Pradera,LA-1574,tarde,14.55,32.1,lluvia fuerte,Marta
L-00210,2025-03-26,El Roble,BU-0061,tarde,11.7,32.7,sin novedad,Luis
L-00211,2025-04-20,El Progreso,EL-2101,tarde,6.02,17.5,revisar vacuna,Marta
L-00212,2025-10-16,San Miguel,LA-2243,tarde,,20.4,lluvia fuerte,Luis
L-00213,2025-05-08,Santa Lucia,LA-2168,tarde,52,33.7,lluvia fuerte,Ana
L-00214,2025-04-30,Santa Lucia,BU-0868,tarde,12.66,21.4,animal en control,Carlos
L-00215,2025-03-28,El Progreso,EL-0789,tarde,9.79,32.0,revisar vacuna,Carlos
L-00216,2025-09-29,El Progreso,SA-0904,tarde,9.91,20.4,normal,Ana
L-00217,2025-12-11,Santa Lucia,SA-0423,tarde,6.69,19.6,baja alimentacion,Marta
L-00218,2025-08-04,El Progreso,EL-1786,tarde,15.3,25.8,dato estimado,Jorge
L-00219,2025-07-12,La Esperanza,SA-1958,manana,1.47,26.7,animal en control,Jorge
L-00220,2025-02-18,Los Guaduales,LA-0265,manana,9.66,27.6,animal en control,Marta
L-00221,2025-10-08,Los Guaduales,EL-0582,manana,9.9,27.2,animal en control,Carlos
L-00222,2025-12-08,Los Guaduales,EL-2098,tarde,11.81,17.5,animal en control,Jorge
L-00223,2025-02-22,El Progreso,BU-0183,tarde,8.03,32.4,lluvia fuerte,Luis
L-00224,2025-01-07,San Miguel,LA-2380,tarde,10.98,28.2,sin novedad,Marta
L-00225,2025-07-26,Santa Lucia,SA-0351,tarde,7.39,25.3,normal,Paola
L-00226,2025-04-29,Los Guaduales,SA-1084,manana,10.01,28.6,revisar vacuna,Luis
L-00227,2025-10-14,El Roble,EL-0439,tarde,10.41,23.5,lluvia fuerte,Ana
L-00228,2025-05-31,El Progreso,LA-2274,tarde,8.01,18.5,animal en control,Jorge
L-00229,2025-02-16,Buenos Aires,LO-1031,tarde,8.38,20.9,lluvia fuerte,Paola
L-00230,2025-11-16,San Miguel,SA-0592,manana,12.56,19.9,baja alimentacion,Ana
L-00231,2025-09-03,Santa Lucia,EL-1693,tarde,10.28,20.8,sin novedad,Paola
L-00232,2025-12-15,La Esperanza,SA-1580,tarde,8.28,19.9,normal,Jorge
L-00233,2025-05-03,San Miguel,LO-0645,tarde,14.93,18.4,revisar vacuna,Ana
L-00234,2025-10-23,El Roble,EL-1546,manana,9.73,30.3,revisar vacuna,Carlos
L-00235,2025-10-12,Buenos Aires,SA-0532,manana,8.86,18.2,normal,Marta
L-00236,2025-04-20,San Miguel,BU-0873,tarde,8.45,21.4,dato estimado,Carlos
L-00237,2025-02-21,San Miguel,SA-0407,tarde,9.31,27.4,sin novedad,Ana
L-00238,2025-02-11,El Progreso,SA-1759,manana,15.11,21.2,animal en control,Paola
L-00239,2025-05-30,Buenos Aires,EL-2068,tarde,10.77,25.2,lluvia fuerte,Marta
L-00240,2025-02-20,Buenos Aires,LO-1829,manana,13.04,32.7,revisar vacuna,Carlos
L-00241,2025-03-02,La Pradera,BU-1016,tarde,17.4,22.0,lluvia fuerte,Jorge
L-00242,2025-08-22,El Roble,BU-0666,manana,13.54,23.1,baja alimentacion,Ana
L-00243,2025-01-04,Buenos Aires,EL-1986,manana,5.17,29.5,animal en control,Jorge
L-00244,2025-04-09,La Pradera,SA-2213,tarde,9.08,23.7,lluvia fuerte,Carlos
L-00245,2025-11-24,Buenos Aires,LA-1497,manana,12.41,30.0,sin novedad,Marta
L-00246,2025-07-04,El Progreso,BU-1741,tarde,13.16,30.9,revisar vacuna,Luis
L-00247,2025-06-11,Buenos Aires,SA-0605,tarde,6.38,33.3,normal,Carlos
L-00248,2025-01-27,El Progreso,EL-0182,manana,8.16,28.6,normal,Jorge
L-00249,2025-05-08,Los Guaduales,SA-0236,manana,7.6,31.4,dato estimado,Jorge
L-00250,2025-04-12,San Miguel,SA-0967,tarde,8.55,20.0,animal en control,Marta
L-00251,2025-10-21,La Pradera,LO-2303,manana,12.17,30.9,normal,Ana
L-00252,2025-04-16,La Esperanza,LA-2306,tarde,11.52,20.8,normal,Ana
L-00253,2025-09-26,Los Guaduales,BU-1873,tarde,9.33,18.3,animal en control,Jorge
L-00254,2025-01-16,Buenos Aires,SA-0272,manana,10.48,29.4,animal en control,Jorge
L-00255,2025-05-29,El Roble,SA-1128,manana,13.66,29.2,animal en control,Jorge
L-00256,2025-12-16,Buenos Aires,LA-0409,tarde,9.3,31.1,revisar vacuna,Luis
L-00257,2025-01-20,Los Guaduales,SA-0539,manana,13.51,27.6,animal en control,Paola
L-00258,2025-09-09,Santa Lucia,LA-0923,tarde,7.97,18.4,normal,Jorge
L-00259,2025-09-15,La Pradera,SA-1369,tarde,12.22,27.6,dato estimado,Luis
L-00260,2025-08-13,El Roble,EL-0741,tarde,9.99,24.9,revisar vacuna,Carlos
L-00261,2025-01-05,La Esperanza,EL-1350,manana,8.52,26.6,revisar vacuna,Luis
L-00262,2025-09-08,Buenos Aires,EL-0947,manana,12.15,19.7,animal en control,Carlos
L-00263,2025-07-27,Buenos Aires,EL-0126,manana,13.75,31.5,dato estimado,Luis
L-00264,2025-05-08,El Roble,SA-0359,tarde,7.62,28.8,revisar vacuna,Jorge
L-00265,2025-08-14,El Progreso,SA-0530,tarde,11.47,20.0,normal,Marta
L-00266,2025-06-29,San Miguel,LO-1434,manana,14.18,19.7,lluvia fuerte,Ana
L-00267,2025-09-11,El Progreso,LO-0880,tarde,13.46,20.1,normal,Luis
L-00268,2025-11-07,La Esperanza,BU-1476,tarde,7.45,20.8,normal,Ana
L-00269,2025-10-31,Buenos Aires,EL-1380,tarde,9.67,18.5,sin novedad,Jorge
L-00270,2025-07-02,Santa Lucia,SA-1678,manana,12.57,27.8,lluvia fuerte,Ana
L-00271,2025-08-16,San Miguel,BU-1581,tarde,7.64,22.3,sin novedad,Paola
L-00272,2025-10-16,Buenos Aires,BU-0986,tarde,14.72,26.4,lluvia fuerte,Marta
L-00273,2025-09-24,La Pradera,LO-1997,tarde,9.74,31.3,baja alimentacion,Jorge
L-00274,2025-02-13,Buenos Aires,BU-1609,tarde,13.23,31.8,revisar vacuna,Jorge
L-00275,2025-12-07,El Roble,EL-0555,manana,9.89,29.9,normal,Carlos
L-00276,2025-07-30,La Esperanza,LA-1337,tarde,12.19,19.9,baja alimentacion,Jorge
L-00277,2025-07-21,Los Guaduales,BU-0201,tarde,11.38,24.6,normal,Paola
L-00278,2025-06-29,San Miguel,BU-0278,manana,10.99,30.9,animal en control,Jorge
L-00279,2025-12-30,El Roble,LO-0149,tarde,9.96,17.2,lluvia fuerte,Marta
L-00280,2025-11-20,El Roble,LA-0334,manana,52,27.0,sin novedad,Carlos
L-00281,2025-10-11,La Pradera,EL-1674,manana,7.09,21.7,animal en control,Carlos
L-00282,2025-06-12,Los Guaduales,BU-1476,tarde,12.75,25.4,lluvia fuerte,Paola
L-00283,2025-09-08,La Pradera,LA-1459,tarde,8.65,22.1,baja alimentacion,Marta
L-00284,2025-02-13,La Pradera,EL-1750,tarde,11.69,18.0,normal,Jorge
L-00285,2025-08-04,El Roble,EL-1735,tarde,10.48,29.6,animal en control,Ana
L-00286,2025-02-11,El Progreso,EL-0878,tarde,14.62,19.7,normal,Marta
L-00287,2025-06-02,El Roble,BU-0378,tarde,10.64,30.8,normal,Jorge
L-00288,2025-12-05,La Pradera,LA-0750,manana,14.87,26.4,dato estimado,Ana
L-00289,2025-01-16,La Esperanza,SA-0374,tarde,9.78,17.2,baja alimentacion,Ana
L-00290,2025-03-01,Buenos Aires,BU-0145,tarde,11.02,24.9,normal,Marta
L-00291,2025-02-03,Santa Lucia,LO-1740,tarde,12.01,19.6,baja alimentacion,Jorge
L-00292,2025-04-07,El Roble,BU-0240,manana,14.27,31.1,revisar vacuna,Carlos
L-00293,2025-02-20,Los Guaduales,EL-0037,tarde,17.19,18.7,dato estimado,Paola
L-00294,2025-07-29,Santa Lucia,EL-1269,manana,5.42,29.7,normal,Marta
L-00295,2025-07-10,Buenos Aires,SA-2355,manana,10.21,30.5,revisar vacuna,Carlos
L-00296,2025-05-25,Santa Lucia,LO-0476,tarde,13.11,27.0,revisar vacuna,Carlos
