id_cosecha,fecha,finca,lote,kilos_cosechados,humedad_grano_pct,estado_cultivo,lluvia_ultimos_7_dias_mm
M-00055,2025-10-17,La Pradera,Lote-01,131.76,28.9,seco,93.5
M-00056,2025-08-31,El Roble,Lote-14,164.84,12.0,listo_para_cosecha,49.1
M-00057,2025-02-01,El Roble,Lote-25,157.88,31.2,seco,92.8
M-00058,2025-08-06,La Pradera,Lote-19,225.57,31.5,humedo,3.6
M-00059,2025-07-30,La Pradera,Lote-14,160.94,28.7,listo_para_cosecha,51.5
M-00060,2025-12-21,Santa Lucia,Lote-02,258.56,15.5,plaga_observada,35.4
M-00061,2025-03-22,El Roble,Lote-17,151.53,17.1,seco,39.0
M-00062,2025-09-05,El Progreso,Lote-18,101.69,18.1,optimo,63.7
M-00063,2025-07-17,Santa Lucia,Lote-05,173.51,16.4,humedo,9.7
M-00064,2025-06-22,San Miguel,Lote-17,159.71,29.1,plaga_observada,10.5
M-00065,2025-11-05,La Pradera,Lote-18,196.48,21.7,plaga_observada,27.5
M-00066,2025-10-26,Santa Lucia,Lote-22,229.54,28.7,seco,6.4
M-00067,2025-07-09,San Miguel,Lote-01,236.64,31.8,listo_para_cosecha,56.6
M-00068,2025-04-26,San Miguel,Lote-07,158.67,24.9,humedo,82.7
M-00069,2025-06-09,El Roble,Lote-03,258.35,11.6,plaga_observada,45.7
M-00070,2025-01-03,Buenos Aires,Lote-01,221.27,11.8,listo_para_cosecha,66.7
M-00071,2025-09-14,Santa Lucia,Lote-14,207.42,28.6,optimo,1.8
M-00072,2025-03-18,El Progreso,Lote-01,273.51,10.7,plaga_observada,19.8
M-00073,2025-02-17,El Progreso,Lote-14,218.47,21.3,optimo,65.4
M-00074,2025-08-08,Los Guaduales,Lote-24,130.72,18.8,seco,78.2
M-00075,2025-11-19,La Pradera,Lote-04,185.78,17.0,humedo,85.3
M-00076,2025-08-16,El Progreso,Lote-03,185.1,15.2,humedo,30.7
M-00077,2025-02-23,El Progreso,Lote-12,218.33,22.9,seco,7.9
M-00078,2025-06-25,Santa Lucia,Lote-15,238.69,19.1,plaga_observada,47.0
M-00079,2025-07-27,El Roble,Lote-24,239.88,31.5,humedo,17.4
M-00080,2025-03-15,El Roble,Lote-02,199.53,14.7,listo_para_cosecha,59.2
M-00081,2025-12-02,San Miguel,Lote-02,247.08,13.4,listo_para_cosecha,35.2
M-00082,2025-08-12,El Progreso,Lote-03,188.39,21.6,listo_para_cosecha,42.8
M-00083,2025-02-28,La Pradera,Lote-01,140.18,24.1,plaga_observada,51.3
M-00084,2025-06-01,La Pradera,Lote-13,256.86,15.1,humedo,19.5
M-00085,2025-05-12,Buenos Aires,Lote-02,228.49,18.1,listo_para_cosecha,6.9
M-00086,2025-05-12,La Pradera,Lote-19,123.21,12.1,listo_para_cosecha,12.8
M-00087,2025-07-17,La Esperanza,Lote-17,150.34,11.1,humedo,81.1
M-00088,2025-04-12,San Miguel,Lote-09,177.91,25.7,seco,22.4
M-00089,2025-05-01,La Pradera,Lote-19,217.66,31.3,optimo,16.1
M-00090,2025-09-14,La Esperanza,Lote-13,224.87,30.8,humedo,94.3
M-00091,2025-05-05,San Miguel,Lote-05,237.23,31.9,seco,25.9
M-00092,2025-06-12,La Esperanza,Lote-24,98.15,17.6,listo_para_cosecha,71.9
M-00093,2025-11-26,San Miguel,Lote-23,66.08,29.9,optimo,81.2
M-00094,2025-01-22,Los Guaduales,Lote-10,233.68,27.7,plaga_observada,59.1
M-00095,2025-07-17,Santa Lucia,Lote-09,208.51,16.6,optimo,42.9
M-00096,2025-12-21,San Miguel,Lote-04,233.7,23.0,listo_para_cosecha,23.8
M-00097,2025-01-15,La Pradera,Lote-24,309.44,11.5,optimo,50.5
M-00098,2025-01-11,San Miguel,Lote-03,274.46,15.6,optimo,21.2
M-00099,2025-11-16,Los Guaduales,Lote-06,211.75,24.3,optimo,58.7
M-00100,2025-04-16,La Pradera,Lote-21,82.28,10.7,plaga_observada,62.4
M-00101,2025-04-21,La Pradera,Lote-01,144.22,25.4,plaga_observada,16.9
M-00102,2025-08-24,Santa Lucia,Lote-02,180.52,26.4,listo_para_cosecha,69.3
M-00103,2025-11-04,San Miguel,Lote-18,272.59,31.5,humedo,43.9
M-00104,2025-07-26,La Pradera,Lote-20,178.76,22.6,plaga_observada,73.2
M-00105,2025-01-07,Los Guaduales,Lote-10,140.77,22.0,humedo,22.1
M-00106,2025-12-28,Los Guaduales,Lote-08,190.41,28.8,plaga_observada,44.9
M-00107,2025-02-01,La Esperanza,Lote-21,185.7,14.6,optimo,87.4
M-00108,2025-08-20,La Esperanza,Lote-17,258.11,21.4,plaga_observada,93.8
M-00109,2025-07-06,Los Guaduales,Lote-25,159.56,31.3,listo_para_cosecha,43.4
M-00110,2025-01-26,Los Guaduales,Lote-14,253.8,16.8,humedo,80.7
M-00111,2025-06-29,La Esperanza,Lote-04,182.61,23.3,optimo,77.9
M-00112,2025-07-19,El Roble,Lote-23,110.97,28.4,seco,2.6
M-00113,2025-10-17,Buenos Aires,Lote-19,205.04,16.5,humedo,50.4
M-00114,2025-09-23,Santa Lucia,Lote-17,117.14,28.9,optimo,32.7
M-00115,2025-08-03,Buenos Aires,Lote-14,206.18,23.0,optimo,14.3
M-00116,2025-11-22,La Esperanza,Lote-05,233.55,31.9,listo_para_cosecha,7.5
M-00117,2025-11-27,Los Guaduales,Lote-25,125.24,30.2,seco,37.0
M-00118,2025-11-20,Buenos Aires,Lote-19,154.46,14.0,listo_para_cosecha,57.9
M-00119,2025-04-19,Buenos Aires,Lote-02,161.68,30.0,seco,69.3
M-00120,2025-06-11,El Roble,Lote-10,21.69,14.3,seco,26.4
M-00121,2025-01-01,Buenos Aires,Lote-13,238.48,19.3,plaga_observada,63.4
M-00122,2025-08-11,San Miguel,Lote-19,166.44,16.3,optimo,18.3
M-00123,2025-09-02,La Pradera,Lote-06,218.92,23.2,listo_para_cosecha,88.3
M-00124,2025-09-17,La Esperanza,Lote-01,158.32,16.8,listo_para_cosecha,33.3
M-00125,2025-10-08,Buenos Aires,Lote-19,157.29,26.7,optimo,47.9
M-00126,2025-02-08,Los Guaduales,Lote-19,119.22,15.7,humedo,42.9
M-00127,2025-08-21,San Miguel,Lote-11,211.51,18.7,optimo,79.9
M-00128,2025-11-17,La Esperanza,Lote-22,154.36,26.9,humedo,6.3
M-00129,2025-02-03,Los Guaduales,Lote-10,248.32,29.1,humedo,71.6
M-00130,2025-07-08,El Progreso,Lote-01,163.93,28.9,seco,6.6
M-00131,2025-10-15,El Progreso,Lote-13,202.15,19.6,seco,86.7
M-00132,2025-05-01,Los Guaduales,Lote-17,211.22,15.1,plaga_observada,50.7
M-00133,2025-07-05,San Miguel,Lote-11,125.18,22.0,humedo,65.6
M-00134,2025-04-27,La Esperanza,Lote-07,141.84,13.0,humedo,34.1
M-00135,2025-03-21,La Pradera,Lote-12,124.54,18.8,humedo,9.7
M-00136,2025-06-19,Santa Lucia,Lote-02,59.71,24.4,optimo,32.0
M-00137,2025-04-19,Santa Lucia,Lote-01,263.69,12.1,seco,12.8
M-00138,2025-03-06,La Esperanza,Lote-11,175.28,15.6,optimo,42.2
M-00139,2025-05-06,Buenos Aires,Lote-10,235.67,15.4,seco,94.4
M-00140,2025-03-26,Buenos Aires,Lote-18,309.39,30.4,plaga_observada,11.1
M-00141,2025-07-24,Santa Lucia,Lote-10,213.1,24.4,listo_para_cosecha,2.3
M-00142,2025-09-13,Santa Lucia,Lote-10,269.59,11.2,plaga_observada,73.4
M-00143,2025-03-26,Los Guaduales,Lote-06,62.01,16.9,plaga_observada,28.7
M-00144,2025-06-09,El Progreso,Lote-14,207.32,26.1,seco,38.5
M-00145,2025-01-20,El Progreso,Lote-10,180.7,24.8,seco,64.2
M-00146,2025-06-08,San Miguel,Lote-05,122.5,24.5,listo_para_cosecha,30.1
M-00147,2025-06-22,El Progreso,Lote-24,161.1,13.1,optimo,75.6
M-00148,2025-02-17,El Roble,Lote-05,96.41,22.4,optimo,76.5
M-00149,2025-01-25,La Esperanza,Lote-03,237.91,28.0,humedo,54.3
M-00150,2025-01-02,San Miguel,Lote-15,194.91,24.5,humedo,44.1
M-00151,2025-01-27,Los Guaduales,Lote-13,199.49,28.1,plaga_observada,77.5
M-00152,2025-07-09,El Progreso,Lote-13,307.1,27.8,humedo,35.3
M-00153,2025-09-06,Buenos Aires,Lote-19,160.54,28.7,listo_para_cosecha,14.5
M-00154,2025-10-10,Buenos Aires,Lote-19,194.85,23.3,humedo,86.0
M-00155,2025-03-02,El Roble,Lote-16,124.92,27.3,plaga_observada,4.0
M-00156,2025-10-14,La Esperanza,Lote-20,191.4,16.8,seco,9.1
M-00157,2025-10-13,La Esperanza,Lote-07,169.93,28.5,listo_para_cosecha,22.6
M-00158,2025-08-28,La Esperanza,Lote-19,101.04,30.7,seco,21.6
M-00159,2025-10-04,La Pradera,Lote-01,215.79,13.6,plaga_observada,1.2
M-00160,2025-12-13,Buenos Aires,Lote-20,194.53,23.3,optimo,67.2
M-00161,2025-09-26,El Roble,Lote-02,135.41,13.8,plaga_observada,78.0
M-00162,2025-10-31,San Miguel,Lote-19,255.22,13.2,plaga_observada,63.3
M-00163,2025-11-27,La Esperanza,Lote-19,128.81,16.5,optimo,78.3
M-00164,2025-03-19,Los Guaduales,Lote-15,266.55,23.3,humedo,78.8
M-00165,2025-10-03,Santa Lucia,Lote-19,136.2,26.8,plaga_observada,31.0
M-00166,2025-07-03,El Progreso,Lote-12,143.62,25.4,optimo,23.0
M-00167,2025-01-12,El Progreso,Lote-14,301.66,27.4,optimo,3.4
M-00168,2025-07-04,Buenos Aires,Lote-10,186.16,22.9,humedo,55.3
M-00169,2025-11-10,La Esperanza,Lote-11,129.59,15.7,seco,79.3
M-00170,2025-09-06,La Pradera,Lote-17,223.38,18.7,listo_para_cosecha,87.5
M-00171,2025-07-10,Santa Lucia,Lote-09,216.7,26.1,humedo,5.6
M-00172,2025-05-15,Los Guaduales,Lote-22,237.94,18.7,listo_para_cosecha,57.7
M-00173,2025-01-02,Los Guaduales,Lote-05,154.53,11.1,plaga_observada,38.6
M-00174,2025-04-14,San Miguel,Lote-09,116.54,12.5,humedo,79.5
M-00175,2025-05-18,Santa Lucia,Lote-04,140.71,11.8,listo_para_cosecha,12.3
M-00176,2025-04-09,La Esperanza,Lote-07,121.28,23.4,plaga_observada,87.7
M-00177,2025-04-02,San Miguel,Lote-02,204.39,16.5,humedo,20.3
M-00178,2025-06-25,San Miguel,Lote-21,204.61,23.3,seco,88.5
M-00179,2025-02-26,San Miguel,Lote-15,128.46,17.0,seco,86.3
M-00180,2025-08-26,El Roble,Lote-21,143.4,27.9,plaga_observada,26.1
M-00181,2025-08-15,Buenos Aires,Lote-21,93.8,24.8,listo_para_cosecha,40.4
M-00182,2025-11-01,La Pradera,Lote-14,151.63,30.2,seco,73.9
M-00183,2025-12-20,Santa Lucia,Lote-18,258.13,22.5,optimo,40.4
M-00184,2025-05-18,Buenos Aires,Lote-25,230.5,29.5,seco,36.7
M-00185,2025-11-20,La Pradera,Lote-04,199.63,12.2,plaga_observada,1.9
M-00186,2025-05-29,El Progreso,Lote-13,156.2,20.7,humedo,1.2
M-00187,2025-12-20,La Pradera,Lote-09,264.69,27.5,humedo,81.4
M-00188,2025-08-31,Los Guaduales,Lote-24,55.85,10.6,optimo,19.9
M-00189,2025-11-16,La Esperanza,Lote-08,244.59,31.6,humedo,93.5
M-00190,2025-11-17,Santa Lucia,Lote-18,263.58,29.9,plaga_observada,56.4
M-00191,2025-04-27,Los Guaduales,Lote-07,293.43,25.4,listo_para_cosecha,64.3
M-00192,2025-06-23,El Progreso,Lote-17,172.27,18.1,optimo,70.0
M-00193,2025-04-25,Buenos Aires,Lote-02,83.94,28.1,seco,41.2
M-00194,2025-10-03,Los Guaduales,Lote-15,123.89,25.6,listo_para_cosecha,78.2
M-00195,2025-01-14,El Roble,Lote-06,195.16,28.9,listo_para_cosecha,22.7
M-00196,2025-03-30,San Miguel,Lote-01,192.75,13.8,optimo,48.3
M-00197,2025-11-14,El Progreso,Lote-10,184.9,15.9,optimo,5.0
M-00198,2025-07-29,El Progreso,Lote-17,280.82,11.0,plaga_observada,33.6
M-00199,2025-03-04,San Miguel,Lote-10,44.76,25.5,humedo,53.2
M-00200,2025-01-11,Los Guaduales,Lote-08,303.12,15.9,listo_para_cosecha,10.0
M-00201,2025-09-13,El Progreso,Lote-16,75.1,29.2,seco,57.6
M-00202,2025-03-29,San Miguel,Lote-06,,23.3,plaga_observada,23.4
M-00203,2025-02-02,El Progreso,Lote-14,131.7,20.6,seco,67.3
M-00204,2025-10-29,San Miguel,Lote-03,121.25,29.4,seco,59.1
M-00205,2025-06-15,La Pradera,Lote-10,124.79,21.3,listo_para_cosecha,37.3
M-00206,2025-04-09,La Esperanza,Lote-16,235.31,31.5,optimo,36.7
M-00207,2025-05-13,Buenos Aires,Lote-02,173.69,26.6,listo_para_cosecha,29.2
M-00208,2025-12-08,El Roble,Lote-14,165.58,24.1,seco,18.5
M-00209,2025-02-20,El Progreso,Lote-10,239.71,31.5,listo_para_cosecha,77.9
M-00210,2025-03-09,La Pradera,Lote-06,201.66,16.2,optimo,34.6
M-00211,2025-08-14,El Progreso,Lote-16,155.98,18.3,listo_para_cosecha,55.0
M-00212,2025-11-29,El Progreso,Lote-03,263.61,30.6,listo_para_cosecha,58.4
M-00213,2025-10-29,Buenos Aires,Lote-07,160.02,29.1,plaga_observada,10.3
M-00214,2025-04-14,La Pradera,Lote-06,151.63,17.5,seco,46.2
M-00215,2025-06-17,El Progreso,Lote-24,211.65,10.8,humedo,78.7
M-00216,2025-03-23,La Pradera,Lote-02,161.59,18.3,humedo,31.6
M-00217,2025-01-16,Buenos Aires,Lote-07,78.17,24.9,optimo,93.6
M-00218,2025-03-27,La Pradera,Lote-11,117.52,13.1,humedo,92.2
M-00219,2025-12-10,Buenos Aires,Lote-20,100.94,15.9,listo_para_cosecha,77.2
M-00220,2025-09-06,El Progreso,Lote-06,237.06,25.6,optimo,81.3
M-00221,2025-11-30,El Progreso,Lote-25,151.14,15.2,humedo,5.8
M-00222,2025-03-13,San Miguel,Lote-13,187.04,14.4,seco,64.1
M-00223,2025-03-27,El Roble,Lote-13,149.69,11.0,seco,29.6
M-00224,2025-03-12,San Miguel,Lote-11,119.4,24.4,plaga_observada,82.0
M-00225,2025-11-20,La Esperanza,Lote-07,125.6,13.9,plaga_observada,84.3
M-00226,2025-10-01,San Miguel,Lote-25,204.47,19.9,seco,52.9
M-00227,2025-05-04,El Progreso,Lote-19,168.56,30.1,plaga_observada,60.0
M-00228,2025-04-22,Buenos Aires,Lote-24,123.24,24.1,humedo,16.1
M-00229,2025-01-13,La Pradera,Lote-10,206.91,23.5,optimo,94.9
M-00230,2025-06-30,La Esperanza,Lote-23,235.67,19.8,listo_para_cosecha,81.7
M-00231,2025-11-17,El Roble,Lote-23,246.57,24.8,listo_para_cosecha,2.4
M-00232,2025-05-12,La Pradera,Lote-22,179.6,10.1,humedo,89.5
M-00233,2025-02-12,El Progreso,Lote-01,89.38,30.7,humedo,64.5
M-00234,2025-10-18,San Miguel,Lote-07,140.11,13.6,optimo,71.9
M-00235,2025-07-11,La Esperanza,Lote-02,248.65,22.3,optimo,23.5
M-00236,2025-02-10,Buenos Aires,Lote-18,211.86,19.7,seco,24.5
M-00237,2025-04-20,La Pradera,Lote-14,46.08,19.4,humedo,70.5
M-00238,2025-10-12,San Miguel,Lote-23,144.12,20.9,seco,55.0
M-00239,2025-03-26,Los Guaduales,Lote-24,210.95,18.6,optimo,58.9
M-00240,2025-01-24,El Roble,Lote-02,-20,17.5,humedo,49.2
M-00241,2025-12-04,El Roble,Lote-25,203.18,12.4,seco,35.4
M-00242,2025-11-26,Buenos Aires,Lote-19,102.92,25.8,plaga_observada,81.1
M-00243,2025-07-06,San Miguel,Lote-25,112.22,27.8,seco,33.8
M-00244,2025-08-18,La Pradera,Lote-11,129.68,25.3,optimo,86.9
M-00245,2025-01-28,El Roble,Lote-18,177.97,12.7,seco,93.1
M-00246,2025-05-30,La Pradera,Lote-16,181.08,18.9,optimo,69.4
M-00247,2025-04-28,La Pradera,Lote-13,280.66,10.7,seco,50.3
M-00248,2025-03-25,Santa Lucia,Lote-11,131.11,29.9,optimo,13.9
M-00249,2025-08-04,La Esperanza,Lote-22,216.91,12.9,listo_para_cosecha,48.5
M-00250,2025-05-26,Santa Lucia,Lote-09,185.73,14.6,listo_para_cosecha,63.8
M-00251,2025-02-24,Santa Lucia,Lote-22,265.4,13.3,seco,58.6
M-00252,2025-12-24,La Pradera,Lote-07,104.44,23.5,seco,59.8
M-00253,2025-02-08,San Miguel,Lote-25,192.62,24.2,listo_para_cosecha,77.7
M-00254,2025-01-28,Buenos Aires,Lote-12,217.71,28.7,plaga_observada,76.8
M-00255,2025-01-03,El Progreso,Lote-20,159.01,23.4,optimo,16.5
M-00256,2025-08-19,El Progreso,Lote-12,212.04,30.5,humedo,46.5
M-00257,2025-03-22,La Pradera,Lote-21,126.61,12.8,listo_para_cosecha,69.8
M-00258,2025-06-16,El Roble,Lote-04,101.59,16.2,seco,90.5
M-00259,2025-01-20,La Esperanza,Lote-07,169.21,21.6,plaga_observada,86.1
M-00260,2025-04-12,La Pradera,Lote-12,236.59,16.3,plaga_observada,91.7
M-00261,2025-01-10,El Roble,Lote-24,146.24,18.5,plaga_observada,60.6
M-00262,2025-07-14,El Progreso,Lote-18,144.56,19.6,plaga_observada,92.3
M-00263,2025-03-06,La Esperanza,Lote-22,202.94,22.5,seco,48.0
M-00264,2025-11-01,Los Guaduales,Lote-09,240.05,10.5,listo_para_cosecha,27.6
M-00265,2025-05-05,Los Guaduales,Lote-21,145.71,25.3,listo_para_cosecha,10.6
M-00266,2025-12-24,Santa Lucia,Lote-18,139.95,23.4,seco,7.3
M-00267,2025-08-31,Santa Lucia,Lote-10,112.5,15.4,plaga_observada,47.5
M-00268,2025-01-28,La Esperanza,Lote-15,155.41,17.1,listo_para_cosecha,94.5
M-00269,2025-02-22,El Roble,Lote-14,144.52,18.3,listo_para_cosecha,10.3
M-00270,2025-10-23,Santa Lucia,Lote-09,215.97,12.9,humedo,8.7
M-00271,2025-09-25,El Roble,Lote-15,176.51,27.8,seco,72.0
M-00272,2025-07-31,El Progreso,Lote-11,203.01,29.1,optimo,25.9
M-00273,2025-11-26,El Roble,Lote-23,163.49,23.1,humedo,16.9
M-00274,2025-12-31,La Esperanza,Lote-02,153.07,21.1,listo_para_cosecha,67.2
M-00275,2025-07-16,El Progreso,Lote-20,238.05,24.8,humedo,25.6
M-00276,2025-03-19,Santa Lucia,Lote-15,290.47,16.5,seco,28.7
M-00277,2025-02-01,Buenos Aires,Lote-24,200.72,31.7,seco,77.8
M-00278,2025-02-27,La Pradera,Lote-23,267.09,15.4,optimo,71.0
M-00279,2025-12-10,La Esperanza,Lote-14,325.1,23.6,seco,9.4
M-00280,2025-11-20,El Progreso,Lote-10,140.44,14.5,plaga_observada,73.5
M-00281,2025-05-23,Buenos Aires,Lote-05,85.96,10.3,seco,23.6
M-00282,2025-04-01,Santa Lucia,Lote-02,134.88,24.0,listo_para_cosecha,31.6
M-00283,2025-02-24,La Pradera,Lote-21,124.63,20.2,humedo,74.0
M-00284,2025-12-13,Los Guaduales,Lote-22,137.59,29.6,listo_para_cosecha,72.6
M-00285,2025-02-07,San Miguel,Lote-01,239.29,30.9,plaga_observada,84.9
M-00286,2025-02-15,El Progreso,Lote-07,233.57,13.4,seco,35.9
M-00287,2025-02-24,Los Guaduales,Lote-16,190.49,29.5,seco,30.7
M-00288,2025-07-15,Los Guaduales,Lote-01,273.75,15.9,plaga_observada,9.1
M-00289,2025-10-25,El Progreso,Lote-07,314.42,28.3,humedo,65.4
M-00290,2025-11-26,Los Guaduales,Lote-12,146.57,21.9,optimo,90.8
M-00291,2025-01-15,San Miguel,Lote-19,157.66,13.1,plaga_observada,38.7
M-00292,2025-01-14,Santa Lucia,Lote-09,187.67,23.1,listo_para_cosecha,21.2
M-00293,2025-04-13,San Miguel,Lote-12,198.4,31.6,plaga_observada,88.4
M-00294,2025-02-24,Los Guaduales,Lote-19,206.89,22.2,optimo,46.4
M-00295,2025-11-10,El Progreso,Lote-21,177.37,11.5,optimo,64.2
M-00296,2025-01-24,La Esperanza,Lote-21,101.02,14.9,humedo,64.3
M-00297,2025-11-04,Santa Lucia,Lote-01,214.79,19.6,optimo,75.6
M-00298,2025-08-20,La Pradera,Lote-16,188.3,28.7,seco,91.8
M-00299,2025-10-06,La Pradera,Lote-13,111.83,17.6,listo_para_cosecha,10.1
M-00300,2025-12-05,El Roble,Lote-08,76.15,21.4,listo_para_cosecha,91.5
M-00301,2025-04-09,El Roble,Lote-19,160.6,12.2,seco,87.6
M-00302,2025-10-19,Buenos Aires,Lote-16,242.56,28.4,seco,94.9
M-00303,2025-06-26,La Esperanza,Lote-08,236.03,19.2,seco,46.6
M-00304,2025-07-25,San Miguel,Lote-19,210.75,16.6,seco,2.2
M-00305,2025-06-20,La Esperanza,Lote-15,171.67,16.0,plaga_observada,6.5
M-00306,2025-08-11,San Miguel,Lote-02,181.81,24.7,optimo,58.4
M-00307,2025-06-22,El Roble,Lote-22,109.72,31.3,listo_para_cosecha,51.9
M-00308,2025-08-16,Santa Lucia,Lote-02,237.95,31.0,humedo,74.9
M-00309,2025-07-08,La Esperanza,Lote-07,257.89,11.9,listo_para_cosecha,40.0
M-00310,2025-05-25,Santa Lucia,Lote-02,126.89,28.1,optimo,77.9
M-00311,2025-03-31,Buenos Aires,Lote-04,226.79,16.9,seco,13.4
M-00312,2025-08-19,Los Guaduales,Lote-22,236.14,16.9,optimo,40.2
M-00313,2025-10-24,La Pradera,Lote-05,268.64,18.8,optimo,41.2
M-00314,2025-06-08,El Progreso,Lote-15,113.0,27.4,plaga_observada,77.1
M-00315,2025-04-30,San Miguel,Lote-02,206.22,19.6,plaga_observada,28.4
M-00316,2025-12-13,La Pradera,Lote-15,113.6,24.3,seco,26.6
M-00317,2025-09-30,El Roble,Lote-11,190.51,27.5,plaga_observada,52.4
M-00318,2025-09-20,San Miguel,Lote-21,117.9,26.1,listo_para_cosecha,25.2
M-00319,2025-08-26,La Esperanza,Lote-18,124.9,23.5,optimo,36.6
M-00320,2025-05-01,El Roble,Lote-19,275.52,26.5,optimo,38.9
M-00321,2025-03-30,El Progreso,Lote-19,195.23,29.2,seco,9.7
M-00322,2025-10-18,San Miguel,Lote-16,166.49,11.6,seco,67.3
M-00323,2025-11-11,Buenos Aires,Lote-03,191.35,23.3,listo_para_cosecha,32.1
M-00324,2025-03-19,San Miguel,Lote-02,184.69,25.0,humedo,1.6
M-00325,2025-04-13,Los Guaduales,Lote-21,102.78,13.8,optimo,2.9
M-00326,2025-04-01,El Progreso,Lote-06,212.19,20.8,plaga_observada,71.8
M-00327,2025-08-19,Santa Lucia,Lote-24,269.48,29.4,humedo,78.6
M-00328,2025-02-11,La Esperanza,Lote-16,214.27,23.6,optimo,26.3
